Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,14)","Exit__rsi(C,14)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2"
9000,49,52,1.1000909063305537,1.0989634069102538,1.0989634069102538,1.1031097792692388,-10.14749478269894,0.0,-0.001024914771871721,2024-01-02 10:15:00+00:00,2024-01-02 11:00:00+00:00,0 days 00:45:00,A_long,0.0009797140111134565,0.0010497990170122442,30.02123906845887,24.773302007966706,1.1006353581131465,1.0995460289863523,1.1026335,1.1021895000000002,1.1046316418868536,1.104832971013648
8999,53,53,1.0990708127620148,1.097900200982988,1.097900200982988,1.1020993970510367,-10.534335399462952,0.0,-0.0010650922264827667,2024-01-02 11:15:00+00:00,2024-01-02 11:15:00+00:00,0 days 00:00:00,A_long,0.0010911591480772822,0.0010911591480772822,20.849131309287472,20.849131309287472,1.0987753740519435,1.0987753740519435,1.1019314999999998,1.1019314999999998,1.1050876259480562,1.1050876259480562
8997,54,55,1.098130726532185,1.0969488408519226,1.0969488408519226,1.101313477444232,-10.633425465320274,0.0,-0.0010762704764619713,2024-01-02 11:30:00+00:00,2024-01-02 11:45:00+00:00,0 days 00:15:00,A_long,0.0010776712616669545,0.001017981760111378,17.53798702318707,16.87986101094593,1.097899220974306,1.097122510271539,1.101619,1.101321,1.1053387790256939,1.105519489728461
8997,56,58,1.0970106237902597,1.0958820182398885,1.0958820182398885,1.0999539452803344,-10.154064136689666,0.0,-0.0010288009303608403,2024-01-02 12:00:00+00:00,2024-01-02 12:30:00+00:00,0 days 00:30:00,A_long,0.0009342508587631797,0.0009275039783598745,17.238210747966647,14.050063543851849,1.096475595584393,1.0952819052930245,1.1010265000000001,1.1003225,1.1055774044156073,1.1053630947069757
9013,94,110,1.0939403421673042,1.0954095704901292,1.0933168098366235,1.0954095704901292,13.242154873622027,0.0,0.0013430607375848336,2024-01-02 21:30:00+00:00,2024-01-03 01:30:00+00:00,0 days 04:00:00,A_long,0.0004920981415928629,0.00035972979520193374,35.70754678225879,81.03556666234489,1.0938829349750088,1.0935056074674772,1.094798,1.0944034999999999,1.095713065024991,1.0953013925325226
-9012,111,118,1.0953395110585171,1.0957797297952019,1.0957797297952019,1.0943408106143946,-3.967251255003066,0.0,-0.00040190163163145165,2024-01-03 01:45:00+00:00,2024-01-03 03:30:00+00:00,0 days 01:45:00,A_short,0.00036243248917501553,0.00040485139237075624,64.07183770513421,73.0636168708795,1.093494079566739,1.0939180326209101,1.0944445,1.094853,1.0953949204332611,1.09578796737909
-9004,119,136,1.095809467943602,1.0963148513923706,1.0963148513923706,1.094695445822888,-4.550472572713508,0.0,-0.00046119646120335034,2024-01-03 03:45:00+00:00,2024-01-03 08:00:00+00:00,0 days 04:15:00,A_short,0.00039220454005465974,0.0005136779220523486,75.39685474498398,69.26071298326163,1.0939542702662746,1.0952624571199618,1.0949550000000001,1.0958455,1.0959557297337257,1.0964285428800382
9013,141,141,1.0944303871168966,1.09360962221962,1.09360962221962,1.09653113334114,-7.397554019152636,0.0,-0.0007499471021072956,2024-01-03 09:15:00+00:00,2024-01-03 09:15:00+00:00,0 days 00:00:00,A_long,0.0007556607429959927,0.0007556607429959927,24.777552482687526,24.777552482687526,1.0944201370016229,1.0944201370016229,1.0955925,1.0955925,1.096764862998377,1.096764862998377
9010,142,145,1.0939703449193199,1.093124339257004,1.093124339257004,1.0961469822289878,-7.6225110174658255,0.0,-0.0007733350965544172,2024-01-03 09:30:00+00:00,2024-01-03 10:15:00+00:00,0 days 00:45:00,A_long,0.0007295726439298757,0.0006834462514707997,26.114639999018294,17.58503089716723,1.0941279574162444,1.0931440111383361,1.09549,1.0950855000000002,1.0968520425837558,1.0970269888616642
9011,146,148,1.0930402596068287,1.0922665537485292,1.0922665537485292,1.0950003387544127,-6.9718634891367985,0.0,-0.0007078475394656225,2024-01-03 10:30:00+00:00,2024-01-03 11:00:00+00:00,0 days 00:30:00,A_long,0.0007003200846080234,0.0006996181968833326,16.401891426049247,13.131440515616049,1.0927777103662248,1.09208442237472,1.0949405,1.0946545,1.0971032896337753,1.0972245776252803
9022,167,180,1.0909300660483803,1.0896291489332695,1.0896291489332695,1.0944325532001915,-11.73687421252984,0.0,-0.0011924844273685231,2024-01-03 15:45:00+00:00,2024-01-03 19:00:00+00:00,0 days 03:15:00,A_long,0.0011780709244998307,0.000854931676215744,18.64065999134675,27.061569974547808,1.090796533824103,1.0898903618418143,1.0918164999999997,1.090968,1.0928364661758965,1.0920456381581856
9022,181,181,1.0896899522983918,1.0921347950286469,1.0887150683237843,1.0921347950286469,22.05737111236084,0.0,0.0022436131718919228,2024-01-03 19:15:00+00:00,2024-01-03 19:15:00+00:00,0 days 00:00:00,A_long,0.0011156074527203085,0.0011156074527203085,64.13627652476146,64.13627652476146,1.0898120592755083,1.0898120592755083,1.0910035,1.0910035,1.0921949407244917,1.0921949407244917
-9003,231,235,1.0941596193044738,1.0949267734509172,1.0949267734509172,1.0923396796472482,-6.9066887804294765,0.0,-0.0007011354951400595,2024-01-04 07:45:00+00:00,2024-01-04 08:45:00+00:00,0 days 01:00:00,A_short,0.0006712036574616383,0.0008372414352743507,60.16678418205658,73.16246279929736,1.0917755938556128,1.0915729332097452,1.092853,1.0932404999999998,1.0939304061443873,1.0949080667902544
-8988,236,238,1.0952195220665806,1.0961572414352745,1.0961572414352745,1.0928082756941768,-8.428221685820883,0.0,-0.0008561930734438672,2024-01-04 09:00:00+00:00,2024-01-04 09:30:00+00:00,0 days 00:30:00,A_short,0.0008896092439044459,0.000900995387643801,67.79046221467814,79.00837739001584,1.0915442132862536,1.0913036558006477,1.0933614999999999,1.0937105,1.0951787867137461,1.0961173441993524
-8970,239,254,1.0964994046472374,1.0939070138370688,1.0975109953876439,1.0939070138370688,23.25374556721233,0.0,0.002364242788624793,2024-01-04 09:45:00+00:00,2024-01-04 13:30:00+00:00,0 days 03:45:00,A_short,0.0008555293359579468,0.0008007742151309199,79.7791335509865,29.667649455641865,1.0912336478815705,1.0942669735540327,1.093919,1.095477,1.0966043521184297,1.0966870264459674
