scenario,strategy,trades,pf,wr,ret,dd,sharpe
mc_000_extra0.395p,A,39.0,1.3156360959349005,33.33333333333333,0.6713535254251838,-0.818312108167274,3.902112423062912
mc_000_extra0.395p,C,21.0,0.5243600658555493,19.047619047619047,-0.5864402595526189,-0.8901288102326044,-6.221604418948733
mc_000_extra0.395p,B,10.0,1.924499387162069,50.0,0.34330285257312426,-0.21289338168259953,3.998717522810724
mc_001_extra0.117p,A,39.0,1.3728729517590743,33.33333333333333,0.7699311824390134,-0.7933702858564873,4.415123174969136
mc_001_extra0.117p,C,21.0,0.55157206140105,19.047619047619047,-0.5340106574400306,-0.8577641071867648,-5.722495375728828
mc_001_extra0.117p,B,10.0,2.0267848475717685,50.0,0.368465545175095,-0.21037643704659992,4.232977893612143
mc_002_extra0.145p,A,39.0,1.3670735378179308,33.33333333333333,0.7602171824704601,-0.7958354105100374,4.3653061717604675
mc_002_extra0.145p,C,21.0,0.5488045526783102,19.047619047619047,-0.539166926131893,-0.8609330410690341,-5.772238346923637
mc_002_extra0.145p,B,10.0,2.0163898494760133,50.0,0.3660012810035732,-0.2106209021418004,4.210383545210159
mc_003_extra0.251p,A,39.0,1.3449769397227442,33.33333333333333,0.7226248183591634,-0.8053316674505262,4.171253796906509
mc_003_extra0.251p,C,21.0,0.5382812884726235,19.047619047619047,-0.559167483756628,-0.8732754778387086,-5.963914284433865
mc_003_extra0.251p,B,10.0,1.976847835348205,50.0,0.35637629247004954,-0.21157865615080151,4.1215274186908015
mc_004_extra0.076p,A,39.0,1.3816361534829702,33.33333333333333,0.7845273270816324,-0.7896793370194555,4.4894812201652385
mc_004_extra0.076p,C,21.0,0.5557583340603924,19.047619047619047,-0.5262579754729814,-0.8529746766955171,-5.647328381764848
mc_004_extra0.076p,B,10.0,2.0425055698348498,50.0,0.37217637950456267,-0.2100149940226559,4.266833214213092
mc_005_extra0.449p,A,39.0,1.3050248078163198,33.33333333333333,0.6524192916107858,-0.8230941606611197,3.8015907336513326
mc_005_extra0.449p,C,21.0,0.5193399254155774,19.047619047619047,-0.5965282444867261,-0.8963487772299827,-6.315888219522835
mc_005_extra0.449p,B,10.0,1.9056112597707815,50.0,0.33844844724408174,-0.21336897530932486,3.952636360473942
mc_006_extra0.067p,A,39.0,1.38370152833638,33.33333333333333,0.7879465411459933,-0.7888245625342738,4.506723429887411
mc_006_extra0.067p,C,21.0,0.5567457624153118,19.047619047619047,-0.5244464177449482,-0.8518545109351017,-5.629775242728518
mc_006_extra0.067p,B,10.0,2.0462130881247287,50.0,0.37304761252940805,-0.20992655679910044,4.274759300000701
mc_007_extra0.743p,A,39.0,1.2487391714086649,33.33333333333333,0.5480184754087896,-0.8494977984729868,3.235363113962472
mc_007_extra0.743p,C,21.0,0.4928398562892598,19.047619047619047,-0.6520827497120445,-0.9306621416627747,-6.824737739001061
mc_007_extra0.743p,B,10.0,1.8058112052239759,50.0,0.31175292214740696,-0.2160291794407465,3.6933077273540413
mc_008_extra0.227p,A,39.0,1.3497974520437808,33.33333333333333,0.7309443048995491,-0.8032407015207355,4.214377997032118
mc_008_extra0.227p,C,21.0,0.5405741265662868,19.047619047619047,-0.5547757140627982,-0.8705870697669371,-5.922058320310541
mc_008_extra0.227p,B,10.0,1.9854654838551171,50.0,0.3584807647047637,-0.2113802271990095,4.141078489485288
mc_009_extra0.065p,A,39.0,1.384087698684764,33.33333333333333,0.7885701671142122,-0.7886713451204397,4.509881119773379
mc_009_extra0.065p,C,21.0,0.5569304182725601,19.047619047619047,-0.5241070853967176,-0.8516442828952031,-5.626485798134043
mc_009_extra0.065p,B,10.0,2.046906395078203,50.0,0.3732102980248419,-0.20991004305356276,4.276238235621664
mc_010_extra0.118p,A,39.0,1.3726966227771287,33.33333333333333,0.7696391298192612,-0.7934450117769498,4.413626303994076
mc_010_extra0.118p,C,21.0,0.5514878819515427,19.047619047619047,-0.534167437111737,-0.8578612401099805,-5.724006834932538
mc_010_extra0.118p,B,10.0,2.026468687808569,50.0,0.3683903782315974,-0.21038406774624985,4.232289926999867
mc_011_extra0.059p,A,39.0,1.385359625669222,33.33333333333333,0.7906753360241601,-0.7881391148127248,4.520473153688369
mc_011_extra0.059p,C,21.0,0.5575386915498854,19.047619047619047,-0.5230003511760334,-0.8509582253028336,-5.615809444471344
mc_011_extra0.059p,B,10.0,2.0491901573610822,50.0,0.3737456629720691,-0.20985570000802145,4.2811026590103545
mc_012_extra0.213p,A,39.0,1.3528645629145324,33.33333333333333,0.7361443602552936,-0.8019192767584782,4.241387439521576
