month,trades,pf,winrate,dd
2023-10,11,0.9965581911527439,36.36363636363637,-0.38147651515005876
2023-11,6,0.2946151076402639,16.666666666666664,-0.6485299546668877
2023-12,10,1.606092017336447,50.0,-0.44728512106259055
2024-01,10,1.1936893233737533,40.0,-0.5796341430500784
2024-02,6,0.37212095285343005,16.666666666666664,-0.7677363318229213
2024-03,3,3.5556199052816577,66.66666666666666,-0.22889835587767138
2024-04,8,0.8961302815478112,37.5,-0.3494401395304103
2024-05,3,3.271209524995022,66.66666666666666,-0.17529294296546594
2024-06,3,0.0,0.0,-0.37761537881871865
2024-07,1,,100.0,-0.03448974091813106
2024-08,13,0.8656143326200928,38.46153846153847,-0.48521522304577624
2024-09,13,2.2353053796672304,53.84615384615385,-0.358792412769926
2024-10,3,2.778733970845109,66.66666666666666,-0.26192363588102285
2024-11,16,2.189710800308354,56.25,-0.5291398018777982
2024-12,11,0.9749353200388554,36.36363636363637,-0.43696763649840875
2025-01,18,1.3607523147755864,44.44444444444444,-0.5663580146359259
2025-02,8,0.609113123956369,25.0,-0.5063970843442123
2025-03,22,0.7811217750980136,36.36363636363637,-0.9495955892128816
2025-04,15,1.234222989742288,40.0,-1.161487934997063
2025-05,19,0.43498132617871754,26.31578947368421,-1.4610571802924799
2025-06,16,1.2741537070429696,43.75,-0.4585428493187438
2025-07,23,1.1617026681929172,39.130434782608695,-0.6652217310691877
2025-08,11,0.3800854746252163,27.27272727272727,-0.7878187878750165
2025-09,4,1.6806280285845605,50.0,-0.2488441006920472
