2025-08-07 04:24:45,806 - PAPER_TRADE; GROSS: +0.0101%; NET: -0.2147%; BALANCE: $9.85
2025-08-07 04:25:12,611 - PAPER_TRADE; GROSS: +0.0103%; NET: -0.2145%; BALANCE: $9.83
2025-08-07 04:25:24,620 - PAPER_TRADE; GROSS: +0.0353%; NET: -0.1895%; BALANCE: $9.81
2025-08-07 04:27:02,031 - PAPER_TRADE; GROSS: +0.0163%; NET: -0.2085%; BALANCE: $9.79
2025-08-07 04:28:04,699 - PAPER_TRADE; GROSS: +0.0242%; NET: -0.2006%; BALANCE: $9.77
2025-08-07 05:05:52,976 - PAPER_TRADE; GROSS: +0.0215%; NET: -0.2034%; BALANCE: $9.75
2025-08-07 05:12:01,323 - PAPER_TRADE; GROSS: +0.0151%; NET: -0.2098%; BALANCE: $9.73
2025-08-07 05:16:59,784 - PAPER_TRADE; GROSS: +0.0122%; NET: -0.2127%; BALANCE: $9.71
2025-08-07 05:17:47,894 - PAPER_TRADE; GROSS: +0.0129%; NET: -0.2119%; BALANCE: $9.69
2025-08-07 05:17:56,619 - PAPER_TRADE; GROSS: +0.0137%; NET: -0.2111%; BALANCE: $9.67
2025-08-07 05:18:59,813 - PAPER_TRADE; GROSS: +0.0122%; NET: -0.2126%; BALANCE: $9.65
2025-08-07 05:20:06,857 - PAPER_TRADE; GROSS: +0.0212%; NET: -0.2037%; BALANCE: $9.63
2025-08-07 05:20:12,666 - PAPER_TRADE; GROSS: +0.0146%; NET: -0.2102%; BALANCE: $9.61
2025-08-07 05:23:19,580 - PAPER_TRADE; GROSS: +0.0238%; NET: -0.2010%; BALANCE: $9.59
2025-08-07 05:25:40,414 - PAPER_TRADE; GROSS: +0.0141%; NET: -0.2107%; BALANCE: $9.57
2025-08-07 05:31:08,928 - PAPER_TRADE; GROSS: +0.0207%; NET: -0.2042%; BALANCE: $9.55
2025-08-07 05:35:32,248 - PAPER_TRADE; GROSS: +0.0232%; NET: -0.2017%; BALANCE: $9.53
2025-08-07 05:37:34,255 - PAPER_TRADE; GROSS: +0.0101%; NET: -0.2147%; BALANCE: $9.51
2025-08-07 05:37:45,836 - PAPER_TRADE; GROSS: +0.0141%; NET: -0.2107%; BALANCE: $9.49
2025-08-07 05:38:13,206 - PAPER_TRADE; GROSS: +0.0131%; NET: -0.2117%; BALANCE: $9.47
2025-08-07 05:38:49,241 - PAPER_TRADE; GROSS: +0.0233%; NET: -0.2015%; BALANCE: $9.45
2025-08-07 05:46:17,369 - PAPER_TRADE; GROSS: +0.0311%; NET: -0.1937%; BALANCE: $9.43
2025-08-07 05:51:26,260 - PAPER_TRADE; GROSS: +0.0184%; NET: -0.2064%; BALANCE: $9.41
2025-08-07 05:57:01,486 - PAPER_TRADE; GROSS: +0.0150%; NET: -0.2098%; BALANCE: $9.39
2025-08-07 06:02:34,672 - PAPER_TRADE; GROSS: +0.0130%; NET: -0.2118%; BALANCE: $9.37
2025-08-07 06:05:14,094 - PAPER_TRADE; GROSS: +0.0652%; NET: -0.1596%; BALANCE: $9.36
2025-08-07 06:05:52,571 - PAPER_TRADE; GROSS: +0.0293%; NET: -0.1955%; BALANCE: $9.34
2025-08-07 06:14:19,146 - PAPER_TRADE; GROSS: +0.0148%; NET: -0.2101%; BALANCE: $9.32
2025-08-07 06:30:43,383 - PAPER_TRADE; GROSS: +0.0104%; NET: -0.2145%; BALANCE: $9.30
2025-08-07 07:05:08,592 - PAPER_TRADE; GROSS: +0.0177%; NET: -0.2071%; BALANCE: $9.28
2025-08-07 07:21:55,324 - PAPER_TRADE; GROSS: +0.0188%; NET: -0.2060%; BALANCE: $9.26
2025-08-07 07:22:47,392 - PAPER_TRADE; GROSS: +0.0152%; NET: -0.2097%; BALANCE: $9.24
2025-08-07 07:24:46,437 - PAPER_TRADE; GROSS: +0.0135%; NET: -0.2113%; BALANCE: $9.22
2025-08-07 07:25:01,371 - PAPER_TRADE; GROSS: +0.0166%; NET: -0.2083%; BALANCE: $9.20
2025-08-07 07:25:04,249 - PAPER_TRADE; GROSS: +0.0178%; NET: -0.2071%; BALANCE: $9.18
2025-08-07 07:25:25,539 - PAPER_TRADE; GROSS: +0.0194%; NET: -0.2054%; BALANCE: $9.17
2025-08-07 07:26:02,566 - PAPER_TRADE; GROSS: +0.0201%; NET: -0.2048%; BALANCE: $9.15
2025-08-07 07:26:05,458 - PAPER_TRADE; GROSS: +0.0118%; NET: -0.2130%; BALANCE: $9.13
2025-08-07 07:27:31,677 - PAPER_TRADE; GROSS: +0.0118%; NET: -0.2130%; BALANCE: $9.11
2025-08-07 07:27:34,570 - PAPER_TRADE; GROSS: +0.0118%; NET: -0.2130%; BALANCE: $9.09
2025-08-07 07:27:38,364 - PAPER_TRADE; GROSS: +0.0201%; NET: -0.2048%; BALANCE: $9.07
2025-08-07 07:28:11,582 - PAPER_TRADE; GROSS: +0.0224%; NET: -0.2024%; BALANCE: $9.05
2025-08-07 07:28:23,122 - PAPER_TRADE; GROSS: +0.0350%; NET: -0.1898%; BALANCE: $9.03
2025-08-07 07:28:26,014 - PAPER_TRADE; GROSS: +0.0350%; NET: -0.1898%; BALANCE: $9.02
2025-08-07 07:28:40,404 - PAPER_TRADE; GROSS: +0.0148%; NET: -0.2100%; BALANCE: $9.00
2025-08-07 07:29:30,337 - PAPER_TRADE; GROSS: +0.0359%; NET: -0.1889%; BALANCE: $8.98
2025-08-07 07:34:20,870 - PAPER_TRADE; GROSS: +0.0136%; NET: -0.2113%; BALANCE: $8.96
2025-08-07 07:34:45,041 - PAPER_TRADE; GROSS: +0.0102%; NET: -0.2146%; BALANCE: $8.94
2025-08-07 07:34:47,902 - PAPER_TRADE; GROSS: +0.0102%; NET: -0.2146%; BALANCE: $8.92
2025-08-07 07:34:50,762 - PAPER_TRADE; GROSS: +0.0102%; NET: -0.2146%; BALANCE: $8.91
2025-08-07 07:34:53,627 - PAPER_TRADE; GROSS: +0.0102%; NET: -0.2146%; BALANCE: $8.89
2025-08-07 07:34:56,494 - PAPER_TRADE; GROSS: +0.0102%; NET: -0.2146%; BALANCE: $8.87
2025-08-07 07:38:39,452 - PAPER_TRADE; GROSS: +0.0154%; NET: -0.2094%; BALANCE: $8.85
2025-08-07 07:38:42,723 - PAPER_TRADE; GROSS: +0.0236%; NET: -0.2012%; BALANCE: $8.83
2025-08-07 07:38:45,545 - PAPER_TRADE; GROSS: +0.0236%; NET: -0.2012%; BALANCE: $8.81
2025-08-07 07:38:48,406 - PAPER_TRADE; GROSS: +0.0236%; NET: -0.2012%; BALANCE: $8.79
2025-08-07 07:38:51,256 - PAPER_TRADE; GROSS: +0.0236%; NET: -0.2012%; BALANCE: $8.78
2025-08-07 07:39:07,041 - PAPER_TRADE; GROSS: +0.0154%; NET: -0.2094%; BALANCE: $8.76
2025-08-07 07:39:09,893 - PAPER_TRADE; GROSS: +0.0154%; NET: -0.2094%; BALANCE: $8.74
2025-08-07 07:41:25,502 - PAPER_TRADE; GROSS: +0.0127%; NET: -0.2121%; BALANCE: $8.72
2025-08-07 07:41:41,491 - PAPER_TRADE; GROSS: +0.0233%; NET: -0.2015%; BALANCE: $8.70
2025-08-07 07:41:44,361 - PAPER_TRADE; GROSS: +0.0233%; NET: -0.2015%; BALANCE: $8.69
2025-08-07 07:41:47,235 - PAPER_TRADE; GROSS: +0.0233%; NET: -0.2015%; BALANCE: $8.67
2025-08-07 07:41:54,020 - PAPER_TRADE; GROSS: +0.0233%; NET: -0.2015%; BALANCE: $8.65
2025-08-07 07:42:24,423 - PAPER_TRADE; GROSS: +0.0114%; NET: -0.2134%; BALANCE: $8.63
2025-08-07 07:42:27,285 - PAPER_TRADE; GROSS: +0.0114%; NET: -0.2134%; BALANCE: $8.62
2025-08-07 07:42:30,150 - PAPER_TRADE; GROSS: +0.0114%; NET: -0.2134%; BALANCE: $8.60
2025-08-07 07:42:33,462 - PAPER_TRADE; GROSS: +0.0163%; NET: -0.2085%; BALANCE: $8.58
2025-08-07 07:46:32,976 - PAPER_TRADE; GROSS: +0.0174%; NET: -0.2075%; BALANCE: $8.56
2025-08-07 07:46:56,875 - PAPER_TRADE; GROSS: +0.0144%; NET: -0.2105%; BALANCE: $8.54
2025-08-07 07:47:03,018 - PAPER_TRADE; GROSS: +0.0107%; NET: -0.2141%; BALANCE: $8.52
2025-08-07 07:50:48,254 - PAPER_TRADE; GROSS: +0.0127%; NET: -0.2121%; BALANCE: $8.51
2025-08-07 07:51:15,285 - PAPER_TRADE; GROSS: +0.0153%; NET: -0.2096%; BALANCE: $8.49
2025-08-07 07:51:19,160 - PAPER_TRADE; GROSS: +0.0153%; NET: -0.2096%; BALANCE: $8.47
2025-08-07 07:53:27,247 - PAPER_TRADE; GROSS: +0.0152%; NET: -0.2097%; BALANCE: $8.45
2025-08-07 07:59:23,188 - PAPER_TRADE; GROSS: +0.0322%; NET: -0.1926%; BALANCE: $8.44
2025-08-07 08:00:35,582 - PAPER_TRADE; GROSS: +0.0257%; NET: -0.1992%; BALANCE: $8.42
2025-08-07 08:03:32,595 - PAPER_TRADE; GROSS: +0.0206%; NET: -0.2042%; BALANCE: $8.40
2025-08-07 08:10:48,343 - PAPER_TRADE; GROSS: +0.0104%; NET: -0.2144%; BALANCE: $8.38
2025-08-07 08:10:51,172 - PAPER_TRADE; GROSS: +0.0104%; NET: -0.2144%; BALANCE: $8.37
2025-08-07 08:10:54,435 - PAPER_TRADE; GROSS: +0.0104%; NET: -0.2144%; BALANCE: $8.35
