timestamp,type,symbol,buy_exchange,sell_exchange,buy_price,sell_price,gross_profit,net_profit,route,category,ask_age_ms,bid_age_ms,unique
2025-08-13T13:14:47.194049,inter_exchange,BABYDOGEUSDT,okx,mexc,1.424e-09,1.4289e-09,0.3441,0.1441,okx→mexc,profit,427,199,False
2025-08-13T13:14:51.073403,inter_exchange,BABYDOGEUSDT,okx,mexc,1.424e-09,1.4289e-09,0.3441,0.1441,okx→mexc,profit,15,1486,False
2025-08-13T13:14:59.986873,inter_exchange,BABYDOGEUSDT,okx,mexc,1.424e-09,1.4275e-09,0.2458,0.0458,okx→mexc,loss,16,873,False
2025-08-13T13:15:00.727304,inter_exchange,BABYDOGEUSDT,okx,mexc,1.424e-09,1.4276e-09,0.2528,0.0528,okx→mexc,profit,756,287,False
2025-08-13T13:15:01.484272,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,10,1045,False
2025-08-13T13:15:01.635656,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,21,1196,False
2025-08-13T13:15:01.696822,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,9,1257,False
2025-08-13T13:15:01.917616,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,7,1478,False
2025-08-13T13:15:02.144957,inter_exchange,BABYDOGEUSDT,okx,mexc,1.422e-09,1.4276e-09,0.3938,0.1938,okx→mexc,profit,78,291,False
2025-08-13T13:15:02.529731,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,9,676,False
2025-08-13T13:15:02.613266,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,3,760,False
2025-08-13T13:15:02.759534,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,15,906,False
2025-08-13T13:15:02.843874,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,9,990,False
2025-08-13T13:15:04.800527,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,296,255,False
2025-08-13T13:15:05.240049,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,17,695,False
2025-08-13T13:15:05.813154,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,19,1268,False
2025-08-13T13:15:05.916970,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,13,1371,False
2025-08-13T13:15:06.125117,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,221,256,False
2025-08-13T13:15:06.464813,inter_exchange,BABYDOGEUSDT,okx,mexc,1.423e-09,1.4276e-09,0.3233,0.1233,okx→mexc,profit,10,596,False
