timestamp,type,symbol,buy_exchange,sell_exchange,buy_price,sell_price,gross_profit,net_profit,route,category,ask_age_ms,bid_age_ms,unique
2025-08-13T12:34:45.494084,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,119,233,False
2025-08-13T12:34:45.625325,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,21,365,False
2025-08-13T12:34:45.744423,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,20,484,False
2025-08-13T12:34:45.828016,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,12,567,False
2025-08-13T12:34:45.946159,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,15,686,False
2025-08-13T12:34:46.083776,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,20,823,False
2025-08-13T12:34:46.153233,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,3,893,False
2025-08-13T12:34:46.282522,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,3,1022,False
2025-08-13T12:34:46.450650,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,21,1190,False
2025-08-13T12:34:46.551314,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,19,1291,False
2025-08-13T12:34:46.622844,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,4,1362,False
2025-08-13T12:34:46.741192,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,8,1481,False
2025-08-13T12:34:48.133996,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,82,254,False
2025-08-13T12:34:48.339363,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,21,460,False
2025-08-13T12:34:48.488056,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,1,609,False
2025-08-13T12:34:48.616879,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,1,737,False
2025-08-13T12:34:48.745622,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,20,866,False
2025-08-13T12:34:48.860685,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,5,981,False
2025-08-13T12:34:48.972274,inter_exchange,BABYDOGEUSDT,okx,mexc,1.416e-09,1.4193e-09,0.2331,0.0331,okx→mexc,loss,16,1093,False
