timestamp,type,symbol,buy_exchange,sell_exchange,buy_price,sell_price,gross_profit,net_profit,route,category,unique
2025-08-13T04:15:06.857731,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:08.600913,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:08.601043,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:08.601133,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:10.292916,inter_exchange,EDUUSDT,mexc,kucoin,0.1444,0.145,0.4155,0.2355,mexc→kucoin,profit,False
2025-08-13T04:15:10.293077,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:10.293148,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:11.787764,inter_exchange,EDUUSDT,mexc,kucoin,0.1444,0.145,0.4155,0.2355,mexc→kucoin,profit,False
2025-08-13T04:15:11.787883,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:11.787973,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:13.306459,inter_exchange,EDUUSDT,mexc,kucoin,0.1444,0.145,0.4155,0.2355,mexc→kucoin,profit,False
2025-08-13T04:15:13.306691,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:15.142343,inter_exchange,EDUUSDT,binance,kucoin,0.1443,0.145,0.4851,0.3301,binance→kucoin,profit,False
2025-08-13T04:15:15.142431,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:15.142486,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:16.629244,inter_exchange,JOEUSDT,binance,mexc,0.1647,0.1653,0.3643,0.1893,binance→mexc,profit,True
2025-08-13T04:15:16.629364,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:16.629437,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:19.184386,inter_exchange,JOEUSDT,okx,mexc,0.1646,0.1653,0.4253,0.2253,okx→mexc,profit,True
2025-08-13T04:15:19.184478,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:19.184511,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:19.184549,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
