timestamp,open,close,high,low,vol
1754125740,113763.99,113750.01,113763.99,113750.01,4242.8216583799995
1754125680,113760.87,113770.47,113770.48,113760.87,7032.929946109443
1754125620,113744.01,113764.99,113765.0,113744.01,119086.26960416
1754125560,113736.0,113743.01,113743.81,113734.0,7760.14751921
1754125500,113767.48,113736.0,113767.48,113736.0,329319.96579057
1754125440,113769.0,113767.48,113769.0,113767.47,1362.3383592099997
1754125380,113713.99,113769.0,113769.0,113713.99,96806.36254337
1754125320,113705.55,113713.98,113713.99,113705.55,136683.37417829
1754125260,113714.99,113705.54,113715.0,113703.01,3990.37285887
1754125200,113704.01,113704.0,113704.01,113704.0,3370.830116
1754125140,113712.01,113704.01,113712.01,113703.0,20200.69092541
1754125080,113725.39,113712.0,113725.39,113712.0,2865.45693582
1754125020,113719.16,113725.38,113738.01,113719.15,111840.00008696
1754124960,113713.0,113713.01,113713.01,113713.0,211.22194716999994
1754124900,113718.01,113714.0,113719.16,113714.0,13357.8288005
1754124840,113777.13,113719.0,113777.13,113719.0,126249.25202811
1754124780,113771.01,113777.13,113792.49,113771.01,501722.77398955
1754124720,113773.01,113771.0,113773.01,113771.0,1024.9180964199998
1754124660,113807.0,113774.0,113807.01,113774.0,24264.233875
1754124600,113810.0,113808.0,113810.01,113807.0,912.58503122
1754124540,113767.82,113814.78,113824.6,113767.82,193228.10032225
1754124480,113753.81,113767.82,113767.82,113753.8,30158.75780493
1754124420,113704.01,113753.01,113753.01,113704.01,187074.27346349
1754124360,113742.01,113704.0,113742.01,113704.0,155982.42971287
1754124300,113743.01,113742.85,113743.01,113742.0,9637.386691
1754124240,113757.01,113743.0,113757.01,113743.0,13670.09568394
1754124180,113803.01,113757.01,113803.01,113757.0,112523.66533078
1754124120,113798.0,113803.01,113803.01,113792.0,122018.38993485
1754124060,113832.86,113799.0,113832.86,113799.0,4000.33288027
1754124000,113813.57,113832.57,113832.57,113813.57,127886.52749645
1754123940,113795.56,113813.0,113813.0,113795.56,469846.21307654463
1754123880,113792.22,113795.56,113810.56,113791.87,141293.11148019
1754123820,113795.57,113792.22,113795.57,113791.87,122486.34664395
1754123760,113765.86,113798.01,113798.57,113765.86,67071.42495761
1754123700,113753.86,113765.01,113765.01,113750.01,34940.17740967
1754123640,113794.0,113752.86,113882.01,113745.85,1619252.4042719044
1754123580,113816.01,113794.85,113817.01,113794.85,30061.703021235528
1754123520,113804.01,113816.01,113816.86,113804.01,67232.12140492
1754123460,113843.01,113804.01,113843.01,113804.0,293547.14093718
1754123400,113895.0,113843.0,113895.0,113843.0,159165.03649965
1754123340,113903.01,113895.01,113903.01,113895.0,83903.66060165
1754123280,113903.85,113903.01,113903.85,113903.0,1094.72281796
1754123220,113909.01,113903.86,113909.01,113903.86,1598.9744947999998
1754123160,113914.0,113910.0,113914.01,113910.0,313109.14073062
1754123100,113938.99,113914.0,113938.99,113905.85,54415.15262074
1754123040,113925.0,113939.0,113939.0,113925.0,16334.1336526236
1754122980,113914.85,113913.0,113914.85,113913.0,555.5571516
1754122920,114031.01,113915.0,114031.01,113915.0,251368.84890517
1754122860,114006.0,114031.0,114031.01,114006.0,49274.00003134
1754122800,114002.0,114005.99,114005.99,114001.99,4120.592639019999
1754122740,114002.0,114002.0,114002.0,114001.99,374.0107494199999
1754122680,113975.0,114001.99,114002.0,113975.0,231151.42378599
1754122620,113974.99,113975.0,113975.0,113974.99,4922.19124767
1754122560,113974.0,113975.0,113975.0,113973.99,923.6009624699999
1754122500,113974.0,113973.99,113974.0,113973.99,776.6745860599999
1754122440,113970.0,113973.99,113974.0,113969.99,135546.38739864
1754122380,113958.86,113967.0,113967.0,113958.85,674.7413542899998
1754122320,113978.42,113959.01,113978.42,113959.0,5760.6684452
1754122260,113978.41,113978.42,113984.0,113978.41,532.5923565299998
1754122200,113977.68,113978.41,113978.41,113977.68,8075.63612576
1754122140,113978.42,113977.68,113978.42,113977.68,1527.6202781
1754122080,113977.98,113983.0,113983.0,113977.98,1324.7335897599999
1754122020,113969.76,113969.75,113969.76,113969.75,238.01842274999984
1754121960,113962.86,113962.85,113962.86,113962.85,309.36279604999976
1754121900,113968.2,113968.19,113968.2,113968.19,186.01163492999996
1754121840,113963.01,113978.0,113978.0,113963.0,3567.81352775
1754121780,113990.85,113963.0,113990.85,113963.0,15947.59899389
1754121720,113995.01,113991.0,113995.01,113991.0,31713.62808818
