начало теста    01.08.2025 14:13:30
65-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
66-я сделка | BUY_BTC_IN_MIDDLE | +0.05$ прибыли | SUCCESS (DEMO)
67-я сделка | BUY_BTC_IN_MIDDLE | +0.04$ прибыли | SUCCESS (DEMO)
68-я сделка | BUY_BTC_IN_MIDDLE | +0.04$ прибыли | SUCCESS (DEMO)
69-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
70-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
71-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
72-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
73-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
74-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
75-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
76-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
77-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
78-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
79-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
80-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
81-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
82-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
83-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
84-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
85-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
86-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
87-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
88-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
89-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
90-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
91-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
92-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
93-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
94-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
95-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
96-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
97-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
98-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
99-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
100-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
101-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
102-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
103-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
104-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
105-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
106-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
107-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
108-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
109-я сделка | SELL_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
110-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
111-я сделка | SELL_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
112-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
113-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
114-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
115-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
116-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
117-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
118-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
