month,trades,pf,winrate,dd,gp,gl
2023-09,37,0.0758378297555123,21.62162162162162,-5.034090247903167,40.64635441803409,-539.236400848351
2023-10,42,0.2079973205237379,33.33333333333333,-4.592970112179007,120.50453509603246,-579.8015463139346
2023-11,48,0.18152020700859922,37.5,-4.1363827851761625,91.49630993399472,-504.03739139136434
2023-12,38,0.2265799632779308,31.57894736842105,-3.5739515550166523,104.81639580416169,-462.2115513058295
2024-01,55,0.19766398839045826,25.454545454545453,-5.444370783560714,129.8700867098773,-655.7578679091307
2024-02,53,0.057528779234316006,18.867924528301888,-6.413114173968237,39.07272757860092,-680.384144975432
2024-03,46,0.059435358549091745,17.391304347826086,-4.952706697939457,30.87025683486269,-515.4251038572419
2024-04,48,0.1733714133159851,29.166666666666668,-5.038746065148758,98.3927814841794,-575.3285515295026
2024-05,37,0.09956950482573168,24.324324324324326,-3.8612358840653394,40.956487193051494,-408.82521418658257
2024-06,46,0.050169837911942516,19.565217391304348,-5.7154450521415985,28.714945206726416,-583.5977446591803
2024-07,40,0.10429893049301765,22.5,-4.142413337139805,47.158527183455746,-450.75656085116105
2024-08,46,0.12412317327953008,19.565217391304348,-5.641761997238481,78.01922787114732,-632.9866564443031
2024-09,44,0.30634985303431433,38.63636363636363,-3.259130509847541,132.51062322460962,-431.5748533583675
2024-10,41,0.10484167340072953,21.951219512195124,-4.071978875315008,46.05628597118976,-439.50575995229104
2024-11,60,0.37563840454350506,41.66666666666667,-4.616244673075509,263.3326963974722,-707.396087640658
2024-12,54,0.4228051492923664,48.148148148148145,-3.2049023417328404,213.33452159628692,-503.9145771361877
2025-01,60,0.3224735183931042,40.0,-5.9743453667133295,254.61124978901165,-795.95545523801
2025-02,43,0.18888912298540156,30.23255813953488,-4.84822708200382,113.05487035727478,-596.3580802366645
2025-03,50,0.3782617902962194,48.0,-3.746498869651005,218.75912079342555,-582.2060450967848
2025-04,37,0.49787519427637383,37.83783783783784,-3.7121110167715354,336.53744885356315,-680.9694658800264
2025-05,41,0.31075906762383915,36.58536585365854,-4.842710283330676,192.6597714664437,-619.3175252811504
2025-06,38,0.26435427629800146,34.21052631578947,-3.9569060152558233,141.26428386332984,-536.9548853889219
2025-07,58,0.2945052489657659,39.6551724137931,-5.506159609774408,204.80315467232754,-693.0312881426713
2025-08,56,0.06759864796750792,21.428571428571427,-8.274541998003858,60.036236171164504,-887.4904359715454
