month,trades,pf,winrate,dd
2023-10,24,0.5357944946629507,29.166666666666668,-1.0181906133446272
2023-11,22,1.0818978610854173,54.54545454545454,-0.6731801681872485
2023-12,20,0.974070366020179,45.0,-0.571252562433977
2024-01,23,1.140225381869881,47.82608695652174,-0.6179732749500788
2024-02,19,0.4486070684883411,31.57894736842105,-0.8224798647823772
2024-03,15,1.6985498509992614,53.333333333333336,-0.27697520848884993
2024-04,21,1.044913409848157,42.857142857142854,-0.7002388986466213
2024-05,11,1.2933578878933496,45.45454545454545,-0.3552802857083148
2024-06,13,0.8684646204183984,46.15384615384615,-0.46810400763297455
2024-07,18,2.53568439774562,61.111111111111114,-0.1730000489835959
2024-08,21,0.5028950400804012,28.57142857142857,-1.0523419784002952
2024-09,27,0.9005999070496035,37.03703703703704,-1.1201459691720927
2024-10,16,1.5842864050044811,56.25,-0.29210481684921463
2024-11,30,1.5058151595156946,50.0,-0.9505517545203457
2024-12,26,2.740040420157802,65.38461538461539,-0.2586935196807083
2025-01,27,1.4378134325888843,51.85185185185185,-0.5939583269648718
2025-02,25,1.2395902979961941,48.0,-0.45961505149553217
2025-03,29,1.0389302110310739,48.275862068965516,-1.1789635169125678
2025-04,12,0.9215224397674333,33.33333333333333,-1.1249579961035816
2025-05,18,0.5348064670641159,33.33333333333333,-1.2827328397786664
2025-06,16,2.1921467114142157,62.5,-0.382568816294504
2025-07,28,1.03739689963667,39.285714285714285,-0.8863891081849262
2025-08,26,0.30162703225986726,23.076923076923077,-1.8650141392470565
2025-09,3,0.0,0.0,-0.3163382635822165
