Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,20)","Exit__rsi(C,20)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2","Entry__session_…(timestamp,7,18)","Exit__session_…(timestamp,7,18)"
9129,60,60,1.0844992440466383,1.0862345853854403,1.083365230341422,1.0862345853854403,15.84193108192284,0.0,0.0016001314416105306,2023-12-01 15:00:00+00:00,2023-12-01 15:00:00+00:00,0 days 00:00:00,A_long,0.0011868003707676041,0.0011868003707676041,24.449680984787207,24.449680984787207,1.0845979931564511,1.0845979931564511,1.0878675,1.0878675,1.0911370068435489,1.0911370068435489,1.0,1.0
9154,153,153,1.0831991250709276,1.082015256391393,1.082015256391393,1.085024538495493,-10.83713389246049,0.0,-0.0010929372560720685,2023-12-04 14:15:00+00:00,2023-12-04 14:15:00+00:00,0 days 00:00:00,A_long,0.0010834444607929461,0.0010834444607929461,22.916834205753958,22.916834205753958,1.0836128518808732,1.0836128518808732,1.0863835,1.0863835,1.0891541481191267,1.0891541481191267,1.0,1.0
9152,154,155,1.082299042703128,1.0841502000294274,1.081116555539207,1.0841502000294274,16.94179185029182,0.0,0.0017103935726265895,2023-12-04 14:30:00+00:00,2023-12-04 14:45:00+00:00,0 days 00:15:00,A_long,0.001108318532687234,0.0011178760616622641,32.96112626526023,39.039318786819884,1.083147655604818,1.0828903631724154,1.086156,1.0859809999999999,1.0891643443951817,1.0890716368275843,1.0,1.0
9232,536,536,1.0747883553895996,1.0733546119392048,1.0733546119392048,1.0770936985094313,-13.236319534044977,0.0,-0.0013339774693363893,2023-12-08 14:00:00+00:00,2023-12-08 14:00:00+00:00,0 days 00:00:00,A_long,0.001405336319355782,0.001405336319355782,15.228654056263935,15.228654056263935,1.0750546706844997,1.0750546706844997,1.0775885,1.0775885,1.0801223293155005,1.0801223293155005,1.0,1.0
9229,537,540,1.0736782538026466,1.0761196053748405,1.0721846636806442,1.0761196053748405,22.531233659777868,0.0,0.002273820451841546,2023-12-08 14:15:00+00:00,2023-12-08 15:00:00+00:00,0 days 00:45:00,A_long,0.0014152914767750012,0.00156484011095545,20.131385499573966,55.143805758651,1.0743964565274984,1.073784972594499,1.077384,1.077069,1.0803715434725014,1.080353027405501,1.0,1.0
-9055,921,923,1.0965696330056924,1.0985371543480051,1.0985371543480051,1.0933091221735909,-17.815905754641552,0.0,-0.001794251165719185,2023-12-14 14:15:00+00:00,2023-12-14 14:45:00+00:00,0 days 00:30:00,A_short,0.0019502004349378549,0.00200401721557554,64.36011535116084,75.96681785366624,1.0891391130572916,1.0885734820626636,1.0923465,1.093138,1.0955538869427086,1.0977025179373363,1.0,1.0
-9019,924,994,1.0989994106126333,1.095472769011964,1.1010840172155756,1.095472769011964,31.806780596435317,0.0,0.0032089567715993805,2023-12-14 15:00:00+00:00,2023-12-15 08:30:00+00:00,0 days 17:30:00,A_short,0.0018981482534987926,0.0010827191421809532,74.81864820022498,22.001279286556112,1.0885018987887158,1.0965429455551676,1.0935545,1.0988824999999998,1.0986071012112841,1.101222054444832,1.0,1.0
9080,995,1011,1.0952602287994433,1.094077280857819,1.094077280857819,1.0971088944559255,-10.74116730994886,0.0,-0.0010800610763718188,2023-12-15 08:45:00+00:00,2023-12-15 12:45:00+00:00,0 days 04:00:00,A_long,0.0010476899232234986,0.0008574161882383666,27.30761151843666,29.043016462057594,1.0959770105908178,1.0941118865866333,1.098668,1.0961785,1.1013589894091822,1.0982451134133666,1.0,1.0
9101,1015,1032,1.091509885600278,1.0901399901139082,1.0901399901139082,1.0937520177949651,-12.467418821452448,0.0,-0.0012550463394259692,2023-12-15 13:45:00+00:00,2023-12-15 18:00:00+00:00,0 days 04:15:00,A_long,0.0013246752346128396,0.0009138066839321024,21.563808076319248,31.794748612999143,1.0924170768114394,1.0898030448254878,1.0954065,1.0914455,1.0983959231885605,1.0930879551745123,1.0,0.0
8960,1819,1820,1.107421341679937,1.109344573728258,1.1061952368176347,1.109344573728258,17.232159152955262,0.0,0.0017366759840509172,2023-12-28 14:00:00+00:00,2023-12-28 14:15:00+00:00,0 days 00:15:00,A_long,0.00121346142471674,0.0011623332347544927,33.44439229034403,34.62747992413462,1.1088437608032597,1.1084636475684313,1.111693,1.1115435000000002,1.1145422391967403,1.1146233524315692,1.0,1.0
