month,trades,pf,winrate,dd
2023-10,20,0.10458899870929816,25.0,-2.743238198992648
2023-11,19,0.09950528819363842,36.84210526315789,-1.8876853530706783
2023-12,12,0.19599528208536515,33.33333333333333,-1.655890942631777
2024-01,18,0.1694105345765331,27.77777777777778,-1.791118510456946
2024-02,22,0.03204472022544191,18.181818181818183,-3.1364868086911746
2024-03,20,0.0912516214900231,20.0,-1.9987539149255662
2024-04,16,0.16113347730127567,43.75,-1.8494835727314252
2024-05,19,0.10443580261421882,21.052631578947366,-1.9244243016986018
2024-06,12,0.024014417808073604,8.333333333333332,-1.523479955490059
2024-07,21,0.15286502237584243,28.57142857142857,-1.6902742137873128
2024-08,17,0.07257815224967092,23.52941176470588,-2.652570680199018
2024-09,17,0.30771045303947203,47.05882352941176,-1.209242464623661
2024-10,13,0.11067665011701361,23.076923076923077,-1.3234681439748153
2024-11,22,0.4394654161383152,40.909090909090914,-2.1322073044735212
2024-12,19,0.5122582311065513,52.63157894736842,-0.8956511362168462
2025-01,19,0.46241616137876196,52.63157894736842,-1.573182510341864
2025-02,24,0.19707099054990188,33.33333333333333,-2.4148017118006293
2025-03,20,0.32926084267156697,60.0,-1.4472040254875251
2025-04,9,0.738218200712678,33.33333333333333,-0.7128288663711957
2025-05,11,0.17032471561546134,36.36363636363637,-1.6168053389615245
2025-06,12,0.5491406339342669,58.333333333333336,-0.9864336342720326
2025-07,23,0.29325193075358236,39.130434782608695,-2.490154028346492
2025-08,20,0.05910923217017372,25.0,-3.3584494747208593
2025-09,2,0.0,0.0,-0.4682921998799272
