month,trades,pf,winrate,dd,gp,gl
2023-09,4,0.19716766453249054,25.0,-0.5541332763310258,9.743739709823746,-49.39458007218323
2023-10,9,0.4611927192738505,33.33333333333333,-0.6545478707640662,47.80618314545382,-103.87162570585903
2023-11,7,0.08201327635637273,14.285714285714285,-1.2212532151147593,10.934216287349436,-133.0595377988247
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,0,,,,0.0,0.0
2024-03,5,0.6850367606448624,60.0,-0.38405221303151604,27.90953242459304,-40.78417727602847
2024-04,8,0.6243624481914799,50.0,-0.7504728539577066,51.318697646494,-82.43134752723365
2024-05,3,1.738493549285826,66.66666666666666,-0.24236870051920212,26.742094467488702,-15.406544818865111
2024-06,6,0.18754469435562224,33.33333333333333,-0.91829523343393,16.36079574996447,-87.6911490783809
2024-07,0,,,,0.0,0.0
2024-08,0,,,,0.0,0.0
2024-09,0,,,,0.0,0.0
2024-10,4,0.9733287399760349,50.0,-0.3665701528933196,25.0117537222356,-25.731509315487422
2024-11,15,0.9327592411351128,40.0,-0.90580753743017,145.05441677986963,-155.9359033052184
2024-12,8,0.5010826676729243,37.5,-0.682177508000803,45.82048390071617,-91.56494339043846
2025-01,15,0.42293514420148687,20.0,-1.571210527771405,92.93465335511159,-220.64253991942658
2025-02,7,0.1376302151412741,14.285714285714285,-1.0729729591129944,16.71069076146209,-121.36669002218721
2025-03,0,,,,0.0,0.0
2025-04,0,,,,0.0,0.0
2025-05,0,,,,0.0,0.0
2025-06,8,0.4545721138348147,37.5,-0.9012209648716074,47.38708234111366,-104.34087684321605
2025-07,0,,,,0.0,0.0
2025-08,0,,,,0.0,0.0
