month,trades,pf,winrate,dd
2023-10,27,0.09963472017384825,29.629629629629626,-3.5533775594551065
2023-11,19,0.09005044879937364,36.84210526315789,-2.101369389787955
2023-12,20,0.13758906183096714,35.0,-2.830505829689478
2024-01,22,0.24584150577259833,36.36363636363637,-1.9907178636839329
2024-02,18,0.05421178471075998,27.77777777777778,-2.5248644096957262
2024-03,16,0.13355081344042116,31.25,-1.801482547594202
2024-04,23,0.12795196952573312,39.130434782608695,-2.6160507271340228
2024-05,11,0.40558217293553633,45.45454545454545,-0.863671769504204
2024-06,15,0.048190010563162494,20.0,-2.1335808195235173
2024-07,15,0.3321994716844096,53.333333333333336,-0.6675870099729142
2024-08,21,0.09239348794257789,28.57142857142857,-2.7843310524238607
2024-09,32,0.17348787883547173,37.5,-3.3677175093192013
2024-10,8,0.3038224210848358,50.0,-0.7038235307493146
2024-11,38,0.2796702577801776,42.10526315789473,-3.865554646823688
2024-12,26,0.4462363444340816,53.84615384615385,-1.6366498080057745
2025-01,42,0.31949126561510477,42.857142857142854,-4.170680589992881
2025-02,30,0.26871046541574856,43.333333333333336,-2.9100260679485124
2025-03,40,0.20429589290931033,42.5,-4.149846022409132
2025-04,41,0.3929493544484424,34.146341463414636,-4.0850885103412065
2025-05,38,0.19763539054062687,42.10526315789473,-4.071117988243433
2025-06,34,0.29972398824132057,47.05882352941176,-2.614515732697764
2025-07,38,0.2519564306435402,42.10526315789473,-3.3869724518459265
2025-08,33,0.054503917033747885,21.21212121212121,-4.8179146280676655
2025-09,4,0.0,0.0,-0.6262117646817278
