scenario,strategy,trades,pf,wr,ret,dd,sharpe
pm1.0_c0bps,A,39.0,1.3981735224219172,33.33333333333333,0.8116497535928829,-0.7828356677879178,4.626447920302263
pm1.0_c0bps,C,21.0,0.5636729641654911,19.047619047619047,-0.5118083137976283,-0.8440521584860639,-5.506599996890403
pm1.0_c0bps,B,10.0,2.0722166386331757,50.0,0.37912095227593456,-0.20931227294391785,4.329622197390549
pm1.0_c10bps,A,39.0,0.09530858149021827,17.94871794871795,-6.684747599117199,-6.890467181252003,-35.432734375481516
pm1.0_c10bps,C,21.0,0.009822001413855235,4.761904761904762,-4.568466413877995,-4.588682777141495,-23.737627009866824
pm1.0_c10bps,B,10.0,0.0,0.0,-1.5900372178256474,-1.590037217825646,-14.2937780003465
pm2.0_c0bps,A,39.0,1.2023335818470295,33.33333333333333,0.4569343680169731,-0.8845128356044674,2.7262363244689087
pm2.0_c0bps,C,21.0,0.4711525734353347,19.047619047619047,-0.7005767915317664,-0.9605989022803962,-7.254607549524052
pm2.0_c0bps,B,10.0,1.7240179828111821,50.0,0.2884460858399689,-0.2183646820292484,3.459011310699414
pm2.0_c10bps,A,39.0,0.08384733167773059,17.94871794871795,-7.013921844685502,-7.218931542493556,-37.29340086173815
pm2.0_c10bps,C,21.0,0.00761536774465516,4.761904761904762,-4.749926336158133,-4.770107532374334,-24.3151821073587
pm2.0_c10bps,B,10.0,0.0,0.0,-1.6790951994310126,-1.6790951994310133,-14.593379567592383
