month,trades,pf,winrate,dd
2023-10,8,0.6272727519082688,25.0,-0.4197617929354136
2023-11,6,0.0,0.0,-0.8162579779814605
2023-12,10,1.1307165793901386,50.0,-0.23383056216925713
2024-01,3,,100.0,-0.07477874505441573
2024-02,9,0.6377886689833006,44.44444444444444,-0.45565628248006584
2024-03,7,3.563004453225807,71.42857142857143,-0.14570546428037678
2024-04,5,0.34728928573463064,20.0,-0.38344410585041677
2024-05,3,3.311820502941969,66.66666666666666,-0.17541430260502588
2024-06,7,0.6435149514306988,42.857142857142854,-0.39620132247772943
2024-07,7,1.9748482921187818,57.14285714285714,-0.18228714435778448
2024-08,9,0.5236492738409844,33.33333333333333,-0.47624989711136934
2024-09,7,0.23104226756398044,14.285714285714285,-0.5160820988964532
2024-10,8,2.661915846211113,75.0,-0.2005154657885977
2024-11,12,10.761484930926109,83.33333333333334,-0.17525833979474825
2024-12,8,3.5493147596279138,62.5,-0.1600643660798151
2025-01,10,1.2114411776047476,50.0,-0.42391097781457887
2025-02,9,0.8902513715928648,44.44444444444444,-0.3482151372458886
2025-03,5,2.000082333302761,60.0,-0.2731766377306988
2025-04,1,,100.0,-0.0
2025-05,5,0.0,0.0,-0.7406098270517414
2025-06,5,2.0839163520894104,60.0,-0.22349749316006307
2025-07,2,0.0,0.0,-0.35199580086633375
2025-08,9,0.2375931973923511,22.22222222222222,-0.7789654720652295
2025-09,2,1.614138895100711,50.0,-0.13153420487084233
