rsi_len,bb_std,bb_len,atr_mult_sl,risk_pct,rr_tp,rsi_os,rsi_ob,oos_pf
18,2.0,20,1.2,0.005,1.4,30,70,1.0
18,2.0,22,1.2,0.005,1.4,30,70,1.0
18,2.0,24,1.2,0.005,1.4,30,70,1.0
18,2.0,26,1.2,0.005,1.4,30,70,1.0
