month,trades,pf,winrate,dd
2023-10,24,0.07061379709951375,20.833333333333336,-3.374765612414632
2023-11,20,0.03898752426940229,35.0,-2.1147729006228855
2023-12,18,0.12892758048399477,22.22222222222222,-2.126724158083504
2024-01,19,0.11758897242137696,21.052631578947366,-2.036394728568669
2024-02,19,0.024731428253731667,15.789473684210526,-2.6181658005900332
2024-03,14,0.11056226163014543,28.57142857142857,-1.2059066292822385
2024-04,21,0.12502286945297594,38.095238095238095,-2.255840663498909
2024-05,11,0.1438975374413401,36.36363636363637,-1.1550100933362284
2024-06,11,0.03204853207831349,18.181818181818183,-1.4202677220260806
2024-07,17,0.1853837828940271,35.294117647058826,-1.094406692055705
2024-08,21,0.07354353203023174,23.809523809523807,-2.942112557942933
2024-09,26,0.1473657518942812,30.76923076923077,-2.5278743933087044
2024-10,14,0.13451681956935288,28.57142857142857,-1.1318903092539245
2024-11,30,0.42974624326814115,46.666666666666664,-2.404038478193671
2024-12,27,0.32931494952366097,44.44444444444444,-1.5890377072656725
2025-01,26,0.3394691795833779,38.46153846153847,-2.351317867535796
2025-02,26,0.15027409929187346,30.76923076923077,-2.637854272894935
2025-03,28,0.14924831754826387,42.857142857142854,-2.818350098007194
2025-04,12,0.3250698553824735,25.0,-1.6490152833095406
2025-05,18,0.11524652196926964,33.33333333333333,-2.688448938363286
2025-06,15,0.45731421986756976,60.0,-0.9714394072293242
2025-07,28,0.2288025768698122,35.714285714285715,-3.0072678309370438
2025-08,26,0.035736761167590086,19.230769230769234,-4.147774407996863
2025-09,3,0.0,0.0,-0.5882665791873132
