month,trades,pf,winrate,dd
2023-10,87,0.28894390125943376,21.839080459770116,-8.687228562490512
2023-11,94,0.2541021740203732,26.595744680851062,-8.675235926403468
2023-12,67,0.3242851120898965,31.343283582089555,-5.994422978547953
2024-01,92,0.2527219956251695,27.173913043478258,-8.809984713288511
2024-02,88,0.19198271877975104,22.727272727272727,-8.361939630108795
2024-03,100,0.12934913194324468,18.0,-10.674125682564139
2024-04,112,0.19698940819606228,24.107142857142858,-10.567485697037604
2024-05,108,0.134829072828024,18.51851851851852,-10.791136081086306
2024-06,93,0.13002033297731913,20.43010752688172,-9.867971865592995
2024-07,83,0.17293113731530524,21.686746987951807,-7.612863852498575
2024-08,85,0.2259424132019701,23.52941176470588,-8.357576647516108
2024-09,90,0.3908699176232796,35.55555555555556,-5.929322683465344
2024-10,91,0.21514333337463254,26.373626373626376,-7.906833324952345
2024-11,93,0.3258984718167128,19.35483870967742,-10.019400220825514
2024-12,74,0.5000083268192074,35.13513513513514,-4.897693187114394
2025-01,91,0.40886755865019897,27.472527472527474,-8.53346648117974
2025-02,77,0.2880822198545282,24.675324675324674,-8.553413158825041
2025-03,86,0.411904748899938,32.55813953488372,-7.359878326376979
2025-04,79,0.7168132873519166,29.11392405063291,-5.1745193078386205
2025-05,103,0.44055549376957315,28.155339805825243,-9.435407568211861
2025-06,93,0.4744423297667743,30.107526881720432,-6.706438094639311
2025-07,108,0.3050201130655176,25.0,-10.227792046703543
2025-08,90,0.21349047616499042,24.444444444444443,-10.001545817383196
2025-09,17,0.49800489835596123,41.17647058823529,-1.3682661648886318
