month,trades,pf,winrate,dd
2023-10,24,0.9021550338676058,25.0,-1.0847192978933662
2023-11,23,0.893628467195759,26.08695652173913,-0.9712099154314258
2023-12,17,2.007219041080465,41.17647058823529,-0.4809169426678639
2024-01,23,1.074407107531933,30.434782608695656,-0.7817652635627392
2024-02,15,0.7159394773035599,26.666666666666668,-0.7626621398397093
2024-03,15,1.397325281752208,33.33333333333333,-0.50358090196575
2024-04,16,0.3923392804479409,12.5,-1.6004756754100846
2024-05,7,0.5293010496428046,14.285714285714285,-0.6053744859947252
2024-06,8,1.4022921543630902,37.5,-0.4413309992052694
2024-07,18,1.685361238807174,38.88888888888889,-0.5349878928299967
2024-08,19,1.2520216128392199,26.31578947368421,-0.5490174989183694
2024-09,15,1.1293122343483588,33.33333333333333,-0.7252574109589127
2024-10,17,1.7285935258974112,41.17647058823529,-0.49573369315439875
2024-11,22,0.4639925147536746,13.636363636363635,-1.5348321877852178
2024-12,21,1.6149509849312964,38.095238095238095,-0.8713893782233861
2025-01,25,1.9099462073857405,36.0,-0.7261891648430163
2025-02,19,0.8435650149326751,21.052631578947366,-0.5697252327568347
2025-03,23,0.5569339184813822,17.391304347826086,-1.6340054623720235
2025-04,13,1.5372647254615086,30.76923076923077,-1.324495893353872
2025-05,15,0.3472267089380443,13.333333333333334,-1.4279105681088922
2025-06,11,1.2207838849069477,27.27272727272727,-0.9131138094950919
2025-07,26,1.6718562695163788,34.61538461538461,-0.9289205809169254
2025-08,12,0.19269271218671125,8.333333333333332,-1.039975907318691
2025-09,5,1.9999139899822955,40.0,-0.3163382635822165
