scenario,strategy,trades,pf,wr,ret,dd,sharpe
pm1.0_c0bps,A,4811.0,0.9792033255481203,27.125337767615882,-7.8374529707912,-20.000040842574272,-0.24667811960854005
pm1.0_c10bps,A,4792.0,0.10957244852486227,16.131051752921536,-99.98827759181745,-99.98828289435325,-35.077518846274685
pm2.0_c0bps,A,4811.0,0.8673429147207343,27.125337767615882,-40.39966233915658,-42.95735614287393,-1.5960496352657207
pm2.0_c10bps,A,4609.0,0.10084330017372137,15.339553048383598,-99.98847411788108,-99.98850128987873,-34.32818914687128
