rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
25,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5,24,0.5833333333333334,1.3575488228239028,0.0,50.0,-0.3073250076213174
26,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5,24,0.5833333333333334,1.336293532383623,0.1686575025033488,53.333333333333336,-0.31174540563614345
27,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5,24,0.5833333333333334,1.334278390478012,0.0,47.22222222222222,-0.3396126511183095
28,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge1.csv,rsi18_bb2.0_atr1.2_risk0.5_london7-18_atrmin0.0005_edge1,24,0.5833333333333334,1.3302591167858302,0.0,36.666666666666664,-0.6455820097031828
29,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk1_london7-18_atrmin0.0005_edge1.csv,rsi18_bb2.0_atr1.2_risk1_london7-18_atrmin0.0005_edge1,24,0.5833333333333334,1.3302591167858302,0.0,36.666666666666664,-0.6455820097031828
30,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5,24,0.5833333333333334,1.3206240820337976,0.1686575025033488,53.333333333333336,-0.31719420430422196
31,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0007_edge0.5.csv,rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0007_edge0.5,24,0.5833333333333334,1.2710506509487036,0.2977701902062141,31.456043956043956,-0.7738563986720126
32,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk1_london8-17_atrmin0.0007_edge0.5.csv,rsi18_bb2.0_atr1.2_risk1_london8-17_atrmin0.0007_edge0.5,24,0.5833333333333334,1.2710506509487036,0.2977701902062141,31.456043956043956,-0.7738563986720126
33,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5,24,0.5833333333333334,1.2276675433616568,0.0,50.0,-0.32556519850566734
34,./out/rolling_A_24m_G4_BE_rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0005_edge0.5.csv,G4_BE_rsi18_bb2.0_atr1.2_risk0.5_london8-17_atrmin0.0005_edge0.5,24,0.5833333333333334,1.2117822589569256,0.1017508730821273,22.40143369175627,-0.7756955759541884
35,./out/rolling_A_24m_DOWTT_london7-18.csv,DOWTT_london7-18,24,0.5833333333333334,1.1750480596276534,0.1926927121867112,28.85375494071146,-0.7722137017012243
36,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk0.5.csv,rsi18_bb2.0_atr1.2_risk0.5,24,0.5833333333333334,1.0756613314256647,0.7336331309628664,30.06849315068493,-1.5328712646938079
37,./out/rolling_A_24m_rsi18_bb2.0_atr1.2_risk1.csv,rsi18_bb2.0_atr1.2_risk1,24,0.5833333333333334,1.0756613314256647,0.7336331309628664,30.06849315068493,-1.5328712646938079
38,./out/rolling_A_24m_BASE15_london7-18.csv,BASE15_london7-18,24,0.5833333333333334,1.0419218104396155,0.0,45.8041958041958,-0.6455767215686636
39,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5,24,0.5416666666666666,1.3966547422084408,0.1523340959648969,51.66666666666667,-0.35173604918437573
40,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5,24,0.5416666666666666,1.336293532383623,0.1523340959648969,50.0,-0.3346461707497639
41,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5,24,0.5416666666666666,1.3206240820337976,0.1523340959648969,50.0,-0.35173604918437573
42,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5,24,0.5416666666666666,1.3206240820337976,0.1523340959648969,50.0,-0.33176823302948355
43,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5,24,0.5416666666666666,1.2791027811847457,0.0,50.0,-0.2838471334350334
44,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.5,24,0.5416666666666666,1.2611172576660916,0.0,50.0,-0.31058728571850547
45,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5,24,0.5416666666666666,1.2276675433616568,0.0,50.0,-0.3463081684906
46,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5,24,0.5416666666666666,1.2267233886101756,0.1523340959648969,51.66666666666667,-0.34266355490874534
