a_csv,d_csv,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0030_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_dc60_buf1_atr1.0_risk0.5_trail2_london8-17_adx18.csv,0.0,0.1994801320704606,0.03638653585646979,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0030_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_dc60_buf1_atr1.0_risk0.5_trail2_london8-17_adx25_ema200_trend.csv,0.0,0.2593720370396647,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0030_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_dc80_buf1.5_atr1.0_risk0.5_trail3_london7-18_adx25.csv,0.08695652173913043,0.3480847349421676,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0030_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_dc80_buf1.5_atr1.0_risk0.5_trail3_london8-17_adx25.csv,0.08695652173913043,0.3480847349421676,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0030_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_dc80_buf1_atr1.0_risk0.5_trail3_london7-18_adx18_ema200_trend.csv,0.0,0.2046570950547596,0.03059299292202493,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0030_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_dc80_buf1_atr1.0_risk0.5_trail3_london8-17_adx18_ema200_trend.csv,0.0,0.21753849058732438,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0032_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_alt_dc120_buf1.5_atr1.0_risk0.5_trail3_london7-18_adx18_ema200_trend.csv,0.0,0.0,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0032_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_alt_dc120_buf1.5_atr1.0_risk0.5_trail3_london7-18_adx25_ema200_trend.csv,0.0,0.0,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0032_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_alt_dc120_buf2_atr1.0_risk0.5_trail3_london7-18_adx18_ema200_trend.csv,0.0,0.0,0.0,,
rolling_A_24m_portA_micro12_s8-17_rr2.0_atrmin0.0008_bbw0.0032_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_cons2_cd24_be0.5_rsi18_bb2.0_atr1.2_risk0.5_rr2.0_london8-17_atrmin0.0008_edge0.5.csv,rolling_D_24m_portD_alt_dc120_buf2_atr1.0_risk0.5_trail3_london7-18_adx25_ema200_trend.csv,0.0,0.0,0.0,,
