Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,14)","Exit__rsi(C,14)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2"
8281,65,75,1.1955394054875257,1.1936349439349863,1.1936349439349863,1.2007351681950416,-15.770846116578996,0.0,-0.0015929726312641224,2020-09-01 14:15:00+00:00,2020-09-01 16:45:00+00:00,0 days 02:30:00,A_long,0.0016863819230119811,0.0011540897816035474,24.519684657011936,27.258767928697623,1.1956371226320708,1.1923439658123849,1.1980885,1.1962745000000001,1.200539877367929,1.2002050341876154
8299,77,108,1.1910689963941208,1.1895797888559436,1.1895797888559436,1.1951006334321692,-12.358933359332266,0.0,-0.0012503117306265077,2020-09-01 17:15:00+00:00,2020-09-02 01:00:00+00:00,0 days 07:45:00,A_long,0.0013775163248488926,0.0007378401652338407,28.668388075747032,24.24312022118002,1.1909526869183897,1.190464282997795,1.195597,1.1915865,1.2002413130816103,1.1927087170022053
8296,109,130,1.189988897552761,1.1891421598347662,1.1891421598347662,1.1920935204957015,-7.024536108484998,0.0,-0.0007115509394550745,2020-09-02 01:15:00+00:00,2020-09-02 06:30:00+00:00,0 days 05:15:00,A_long,0.0007727948098693436,0.0007251239987476083,36.426560337592434,41.24371168987304,1.1903165622206102,1.1897448738472156,1.19154,1.1903345,1.1927634377793899,1.1909241261527845
8301,133,133,1.1884987611882927,1.1873535290853852,1.1873535290853852,1.1914994127438447,-9.506571686235256,0.0,-0.0009635955377542693,2020-09-02 07:15:00+00:00,2020-09-02 07:15:00+00:00,0 days 00:00:00,A_long,0.0010689414593328798,0.0010689414593328798,21.464004089858577,21.464004089858577,1.188456041808871,1.188456041808871,1.1900735,1.1900735,1.191690958191129,1.191690958191129
8300,134,138,1.1874186623469332,1.1862410585406673,1.1862410585406673,1.1905168243779984,-9.77411159200663,0.0,-0.0009917342918783767,2020-09-02 07:30:00+00:00,2020-09-02 08:30:00+00:00,0 days 01:00:00,A_long,0.0010957492647551469,0.0010092028592725258,25.933449151638257,19.10680891699407,1.1879878489507885,1.1860582822630128,1.189931,1.189213,1.1918741510492117,1.1923677177369874
8319,158,160,1.1836283154869767,1.182315817509169,1.182315817509169,1.1871725474724928,-10.918670677381726,0.0,-0.0011088767991053183,2020-09-02 13:30:00+00:00,2020-09-02 14:00:00+00:00,0 days 00:30:00,A_long,0.0012256248253867859,0.0013229804244016552,29.39648552964664,22.210682865530202,1.1840151191804205,1.1830873526486918,1.185861,1.1855645000000001,1.1877068808195796,1.1880416473513085
8316,161,217,1.1827882386103636,1.1813670195755983,1.1813670195755983,1.1866589412732051,-11.818857493108492,0.0,-0.0012015836718456407,2020-09-02 14:15:00+00:00,2020-09-03 04:15:00+00:00,0 days 14:00:00,A_long,0.0013452497011481,0.0006126552570082953,38.71475255001249,13.083217356567658,1.182871361843247,1.181064113799357,1.1854265,1.1830555,1.187981638156753,1.1850468862006431
8318,219,222,1.1809880738747642,1.1802823654439263,1.1802823654439263,1.1827529036682214,-5.870082727710051,0.0,-0.000597557626913714,2020-09-03 04:45:00+00:00,2020-09-03 05:30:00+00:00,0 days 00:45:00,A_long,0.0006286166152640029,0.0006926787270325748,16.957676714655207,8.736187862089324,1.180749517880588,1.179979804641564,1.182658,1.1821169999999999,1.184566482119412,1.1842541953584358
8322,223,227,1.1798279677118226,1.1790373212729675,1.1790373212729675,1.1818080361810974,-6.579759664152811,0.0,-0.0006701370542931961,2020-09-03 05:45:00+00:00,2020-09-03 06:45:00+00:00,0 days 01:00:00,A_long,0.0007043215634282319,0.0008451892972458904,25.061194602524807,27.51565311314745,1.1797308101508415,1.179023508040769,1.1819715,1.1814019999999998,1.1842121898491584,1.1837804919592307
-8291,235,253,1.1832716973257922,1.1844611690243303,1.1844611690243303,1.180056492927009,-9.861909852579501,0.0,-0.0010052397105637656,2020-09-03 08:45:00+00:00,2020-09-03 13:15:00+00:00,0 days 04:30:00,A_short,0.0010410131544196471,0.001146423073414142,76.81193303438471,80.08082669689338,1.1791223409381693,1.1801616437987266,1.1811185,1.1822965,1.1831146590618307,1.1844313562012736
-8273,254,261,1.184511583841268,1.1812007307797574,1.185786423073414,1.1812007307797574,27.39068737787792,0.0,0.0027951208807717176,2020-09-03 13:30:00+00:00,2020-09-03 15:15:00+00:00,0 days 01:45:00,A_short,0.0011708999969589303,0.0013827230392507023,64.94072075899855,38.74600004301873,1.180130960695025,1.1800115626648808,1.1823190000000001,1.1826765,1.1845070393049753,1.185341437335119
8303,324,331,1.1837683282997453,1.1854193571596119,1.1830735476134626,1.1854193571596119,13.708492623472095,0.0,0.0013947229541424466,2020-09-04 07:00:00+00:00,2020-09-04 08:45:00+00:00,0 days 01:45:00,A_long,0.0006295920683323517,0.0009428210282451157,38.657697989696665,72.6341119753589,1.1838114379699207,1.1834853678350294,1.18468,1.184627,1.1855485620300792,1.1857686321649707
