month,trades,pf,winrate,dd,gp,gl
2023-09,3,0.4550396404787014,33.33333333333333,-0.25701435811790185,20.484840850408926,-45.11811321570632
2023-10,4,0.23171452405624943,25.0,-0.6144635588651082,16.174051984917778,-70.02471544514054
2023-11,3,0.9743821688922936,33.33333333333333,-0.5368761134498912,38.87621575168751,-40.01985610381641
2023-12,4,0.25441599904334933,25.0,-0.7304546921503952,15.485091417780922,-61.111900209991035
2024-01,4,0.22634377322537824,25.0,-0.43148678727520373,12.605658443849727,-55.75433717137072
2024-02,5,0.020360106977375805,20.0,-0.900652498062382,1.6256633774714864,-80.10133673516917
2024-03,4,0.17375508286733837,50.0,-0.38296023146726643,5.772590960519841,-33.28968830336989
2024-04,6,0.4200323169054623,50.0,-0.5220456707438981,26.028628836468343,-62.017869285099366
2024-05,2,0.0,0.0,-0.39505217053927844,0.0,-39.50521705392754
2024-06,3,1.4550333530198498,66.66666666666666,-0.18623345822466053,27.111842671868096,-18.67383714466372
2024-07,3,0.16991805455675074,33.33333333333333,-0.39668797548054746,6.746829972887202,-39.69556141128319
2024-08,4,1.2229791851752836,50.0,-0.39974158295227324,44.370016251377606,-36.365426277883216
2024-09,3,0.0,0.0,-0.5843435682052256,0.0,-58.43435682052544
2024-10,5,0.18441814258653516,20.0,-0.7229836675269108,13.368337827603694,-72.39501765180333
2024-11,10,0.0923608871661656,10.0,-1.7019072689834158,17.26031552471236,-187.45104242305325
2024-12,1,0.0,0.0,-0.2356214413013924,0.0,-23.562144130139753
2025-01,5,0.0,0.0,-1.2346987359445616,0.0,-123.46987359445771
2025-02,2,0.0,0.0,-0.46670915760027576,0.0,-46.67091576002687
2025-03,4,0.0,0.0,-0.9394347525894076,0.0,-87.3234385119143
2025-04,4,0.0,0.0,-1.0884385436142119,0.0,-108.8438543614217
2025-05,3,0.0,0.0,-0.7032201853976794,0.0,-70.3220185397696
2025-06,2,1.060912930756301,50.0,-0.24563405708446506,24.513104813975943,-23.158939673060125
2025-07,4,0.0,0.0,-0.93494566523874,0.0,-93.49456652387359
2025-08,2,,100.0,-0.104760134789883,50.29409896889806,0.0
