month,trades,pf,winrate,dd,gp,gl
2023-09,30,0.05049085502886695,23.333333333333332,-3.891379364714853,20.25131891920464,-404.5123670256928
2023-10,37,0.14432703513172698,35.13513513513514,-4.30540721181586,72.58665927380903,-503.1273804553991
2023-11,40,0.11311853051074339,30.0,-3.80300819936652,48.4460234773035,-428.7468434139556
2023-12,30,0.17324078900264372,26.666666666666668,-3.3524445033088712,70.45906328238621,-405.70351361326897
2024-01,49,0.1403560286982,20.408163265306122,-5.385939271803886,85.69045214576859,-608.9092666311269
2024-02,44,0.03303591287943569,15.909090909090908,-5.447880837681529,18.564134132302485,-563.3522179004544
2024-03,40,0.03337144163280855,12.5,-4.733405194769736,15.929308255305132,-473.45500103481845
2024-04,44,0.14552513414030643,29.545454545454547,-4.227638539022194,67.72655127096239,-471.50767496219726
2024-05,35,0.062012717388448275,17.142857142857142,-3.3868783204998754,21.908310066212053,-350.38679464495965
2024-06,33,0.025543609475852325,12.121212121212121,-3.965521444840292,9.90450467170779,-393.8638712662709
2024-07,32,0.09025662371440459,21.875,-3.0490378011699626,29.484596413864523,-326.0257979880723
2024-08,36,0.10929597899438934,22.22222222222222,-4.250501141305552,51.31210372662471,-471.01406815234185
2024-09,36,0.2766091693479818,38.88888888888889,-2.3875647479866258,83.36781962519635,-301.30393026388094
2024-10,34,0.08297010679234945,23.52941176470588,-3.0170007677899124,25.871655831347226,-311.6778383233106
2024-11,50,0.41436667197871074,44.0,-3.6316767698586827,201.00810619077012,-489.08677173078235
2024-12,44,0.3012142240235759,47.72727272727273,-2.882284934583401,117.42200533686899,-389.05105037349125
2025-01,50,0.25943472206232404,42.0,-5.058235560385816,167.06527795437367,-646.7928476934102
2025-02,37,0.14428958218880392,29.72972972972973,-3.9689657783171017,66.689508070125,-460.6320749925897
2025-03,41,0.3270479296973449,53.65853658536586,-3.0235575157392502,142.0006137969367,-436.6972740165428
2025-04,29,0.7026904537872616,48.275862068965516,-2.1186978899176867,281.2113785745224,-402.14618768346253
2025-05,28,0.2629193869508794,35.714285714285715,-3.281241183736694,109.871945568031,-415.7003280789645
2025-06,32,0.217788428477983,40.625,-3.309445105576958,91.79794153220726,-422.74245208990845
2025-07,51,0.1920558513636438,37.254901960784316,-5.314828477165534,115.66023410416507,-599.6182650069304
2025-08,42,0.04527120950719715,21.428571428571427,-6.280808449194342,30.178494574007757,-658.2593394934447
