month,trades,pf,winrate,dd,gp,gl
2023-09,4,0.16788208822014994,25.0,-0.5828398223491016,9.743739709823746,-57.99327678522886
2023-10,10,0.5607738610867741,40.0,-0.627040532265466,71.89265455294691,-128.5161741161786
2023-11,6,0.09396502074677576,16.666666666666664,-1.0530243747240875,10.934216287349436,-116.23665375975689
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,0,,,,0.0,0.0
2024-03,4,0.478382357876817,50.0,-0.384037718351915,19.47791947513193,-40.74834697743756
2024-04,9,0.5645521531473707,44.44444444444444,-0.8732173837854962,53.440962914215575,-94.94354312594318
2024-05,0,,,,0.0,0.0
2024-06,0,,,,0.0,0.0
2024-07,0,,,,0.0,0.0
2024-08,10,0.24866242292285184,30.0,-1.1978352678965853,35.557155350106584,-143.45811062768792
2024-09,0,,,,0.0,0.0
2024-10,0,,,,0.0,0.0
2024-11,0,,,,0.0,0.0
2024-12,7,1.0511602745470425,57.14285714285714,-0.486453340272075,50.17189332031289,-47.80165783238196
2025-01,17,0.5244039872511447,29.411764705882355,-1.431082725725008,124.49084365643057,-238.14468900275781
2025-02,6,0.3303466233690702,33.33333333333333,-0.6082843010398631,28.639877550532034,-86.81460407499233
2025-03,0,,,,0.0,0.0
2025-04,0,,,,0.0,0.0
2025-05,0,,,,0.0,0.0
2025-06,5,1.2195295428619108,60.0,-0.42829157769825876,47.481086907143165,-39.01121957967787
2025-07,12,1.0581658450123241,58.333333333333336,-0.6356753491799316,121.83429808988964,-115.4580215362717
2025-08,9,0.0,0.0,-2.191044166911049,0.0,-219.1044166911039
