Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,18)","Exit__rsi(C,18)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2","Entry__session_…(timestamp,7,18)","Exit__session_…(timestamp,7,18)"
8287,66,76,1.1945893185437373,1.1924763416923856,1.1924763416923856,1.2005709749228428,-27.401045730339916,9.890806563188375,-0.002767904944521517,2020-09-01 14:30:00+00:00,2020-09-01 17:00:00+00:00,0 days 02:30:00,A_long,0.0015935309999437232,0.0013802111440564104,26.338582279850343,20.888375381554752,1.1948647441459548,1.1914872127052605,1.1978915,1.1958905,1.2009182558540454,1.2002937872947395,1.0,1.0
8307,133,134,1.1884987611882927,1.1871462349024622,1.1871462349024622,1.1921212952926137,-21.102677347656837,9.86724149126295,-0.0021374433586585917,2020-09-02 07:15:00+00:00,2020-09-02 07:30:00+00:00,0 days 00:15:00,A_long,0.0010689414593328798,0.0010957492647551469,23.980717953687716,27.674400794128005,1.188456041808871,1.1879878489507885,1.1900735,1.189931,1.191690958191129,1.1918741510492117,1.0,1.0
8324,158,215,1.1836283154869767,1.1820729810110029,1.1820729810110029,1.1879010569669912,-22.792652974030332,9.846048796024592,-0.0023133825782937958,2020-09-02 13:30:00+00:00,2020-09-03 03:45:00+00:00,0 days 14:15:00,A_long,0.0012256248253867859,0.0005235942770820076,30.622238911400586,24.6681921672141,1.1840151191804205,1.1814630140703744,1.185861,1.183453,1.1877068808195796,1.1854429859296258,1.0,0.0
8321,348,351,1.1812280958395107,1.179102006154147,1.179102006154147,1.1872539815375591,-27.511345661255564,9.820153389344615,-0.0027989977109465066,2020-09-04 13:00:00+00:00,2020-09-04 13:45:00+00:00,0 days 00:45:00,A_long,0.0016385511108939063,0.0015702212712989205,21.030877265405636,17.602252424179156,1.1818788192145817,1.1798309724533074,1.1844365,1.183679,1.186994180785418,1.1875270275466925,1.0,1.0
-8308,636,636,1.1797320213058042,1.1815392795993882,1.1815392795993882,1.1747421612018354,-24.823422887055784,9.80872098396017,-0.0025326886869862252,2020-09-09 13:00:00+00:00,2020-09-09 13:00:00+00:00,0 days 00:00:00,A_short,0.0015592574884470353,0.0015592574884470353,86.3202294989065,86.3202294989065,1.1742746034754241,1.1742746034754241,1.1770095,1.1770095,1.179744396524576,1.179744396524576,1.0,1.0
-8278,637,643,1.1810419014148956,1.1830111089861366,1.1830111089861366,1.1755266730415905,-26.085915684782638,9.784815410049873,-0.0026681814359560373,2020-09-09 13:15:00+00:00,2020-09-09 14:45:00+00:00,0 days 01:30:00,A_short,0.0015446898233207574,0.0015731120391912431,88.32317202602698,57.13989088289213,1.173741778183118,1.1734280162197759,1.177229,1.1787610000000002,1.180716221816882,1.1840939837802245,1.0,1.0
-8211,731,731,1.1874213175187158,1.1894295064370517,1.1894295064370517,1.1818314806888448,-26.247400266206263,9.758161057750403,-0.0026920641251358844,2020-09-10 12:45:00+00:00,2020-09-10 12:45:00+00:00,0 days 00:00:00,A_short,0.0017891990934262832,0.0017891990934262832,81.11948109523428,81.11948109523428,1.1810918547462699,1.1810918547462699,1.1840755,1.1840755,1.1870591452537302,1.1870591452537302,1.0,1.0
-8181,732,735,1.1886512049493896,1.1909170389121115,1.1909170389121115,1.1823288832636658,-28.270411550543766,9.733623901515472,-0.0029071758563520254,2020-09-10 13:00:00+00:00,2020-09-10 13:45:00+00:00,0 days 00:45:00,A_short,0.0018479725476361357,0.0017899483517500986,83.9362975679781,79.25005179061088,1.1806619196695174,1.1800901973230498,1.1844649999999999,1.185462,1.1882680803304824,1.1908338026769503,1.0,1.0
-8179,811,814,1.1855514886606995,1.1868508556707076,1.1868508556707076,1.182207432987877,-20.32946216199955,9.701939387143291,-0.00209655017597059,2020-09-11 08:45:00+00:00,2020-09-11 09:30:00+00:00,0 days 00:45:00,A_short,0.0009170624288444614,0.0009583899721989231,74.3205883277518,76.65296344659642,1.1825381542083573,1.1821399637145673,1.1838715,1.1843275,1.1852048457916426,1.1865150362854326,1.0,1.0
-8157,904,914,1.1862614236816575,1.187109056654763,1.187109056654763,1.184112830035711,-16.59393366567388,9.67979150405209,-0.001714898733670503,2020-09-14 08:00:00+00:00,2020-09-14 10:30:00+00:00,0 days 02:30:00,A_short,0.0006303186951065709,0.000819094028489889,74.72460273266451,69.90604655196495,1.1838049202576892,1.1841813557761058,1.185059,1.1856895,1.186313079742311,1.1871976442238943,1.0,1.0
