month,trades,pf,winrate,dd
2023-10,6,0.7993640717719517,16.666666666666664,-0.40797898120732423
2023-11,8,0.23953969081808837,12.5,-0.8394694444507134
2023-12,8,0.0,0.0,-1.075179509209545
2024-01,4,10.445988078685584,75.0,-0.4536444145328389
2024-02,6,0.8283349542232933,33.33333333333333,-0.6349115881485901
2024-03,4,3.3141629200020786,50.0,-0.3282851441969492
2024-04,6,1.4911631699351182,33.33333333333333,-0.43376132936369105
2024-05,4,2.885611612465867,50.0,-0.40885073584373544
2024-06,4,0.0,0.0,-0.6220439346960371
2024-07,5,3.5121996628948207,60.0,-0.45005098256631904
2024-08,11,0.9196536008853933,27.27272727272727,-0.4616039730685584
2024-09,7,4.220053782066031,57.14285714285714,-0.23277326360000572
2024-10,2,2.498118364359678,50.0,-0.28566706067020275
2024-11,10,2.751933124367166,40.0,-0.7226160792416891
2024-12,5,3.575304253796151,60.0,-0.46267546012805916
2025-01,7,1.5319206915843535,42.857142857142854,-0.7041545533123417
2025-02,5,1.384331729669919,40.0,-0.7492373066743552
2025-03,4,0.6050665605643369,25.0,-0.4379581956133305
2025-04,3,12.0204307915764,66.66666666666666,-0.7879658823322089
2025-05,4,0.0,0.0,-0.7446388974217566
2025-06,7,2.1355141282164065,42.857142857142854,-0.7707626017443348
2025-07,5,1.4936118995983878,40.0,-0.5479258510047602
2025-08,8,0.0,0.0,-1.4365321256341157
2025-09,1,,100.0,-0.0852935550566758
