Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__asia_ran…(H,L,timestamp,0,6)_0","Exit__asia_ran…(H,L,timestamp,0,6)_0","Entry__asia_ran…(H,L,timestamp,0,6)_1","Exit__asia_ran…(H,L,timestamp,0,6)_1","Entry__session_…(timestamp,7,12)","Exit__session_…(timestamp,7,12)"
8360,326,331,1.1843083777204253,1.1861329393776638,1.183555686874112,1.1861329393776638,15.253335454514225,0.0,0.0015406136539797277,2020-09-04 07:30:00+00:00,2020-09-04 08:45:00+00:00,0 days 01:15:00,B_long,0.0007890713757696301,0.0009428210282451157,1.1858,1.1858,1.18406,1.18406,1.0,1.0
-8362,333,346,1.1855914849999085,1.1829766653265628,1.186607778224479,1.1829766653265628,21.865122108517234,0.0,0.0022054980205479247,2020-09-04 09:15:00+00:00,2020-09-04 12:30:00+00:00,0 days 03:15:00,B_short,0.0009107411278818719,0.001390378697935673,1.1858,1.1858,1.18406,1.18406,1.0,0.0
-8397,428,490,1.183141709223363,1.1808545455294353,1.1840351514901883,1.1808545455294353,19.20531353791068,0.0,0.0019331274319024372,2020-09-07 09:00:00+00:00,2020-09-08 00:30:00+00:00,0 days 15:30:00,B_short,0.0008291312914965876,0.00040110585730701153,1.18427,1.18215,1.18268,1.1795,1.0,0.0
8436,532,535,1.180167998828547,1.1788854131946536,1.1788854131946536,1.1835437604160395,-10.819892407524595,0.0,-0.0010867822506341884,2020-09-08 11:00:00+00:00,2020-09-08 11:45:00+00:00,0 days 00:45:00,B_long,0.0011626418979669563,0.0011115508888395046,1.18215,1.18215,1.1795,1.1795,1.0,1.0
8450,622,625,1.17700770962605,1.1760415811847795,1.1760415811847795,1.179515256445661,-8.163785328735983,0.0,-0.0008208344205132834,2020-09-09 09:30:00+00:00,2020-09-09 10:15:00+00:00,0 days 00:45:00,B_long,0.0008606296398576481,0.0008074972796347259,1.17827,1.17827,1.17657,1.17657,1.0,1.0
8444,632,635,1.176837694067688,1.1795695194250049,1.1757568268583316,1.1795695194250049,23.067533317184534,0.0,0.002321327206876278,2020-09-09 12:00:00+00:00,2020-09-09 12:45:00+00:00,0 days 00:45:00,B_long,0.0010087500561125873,0.0014160663328234863,1.17827,1.17827,1.17657,1.17657,0.0,0.0
-8416,808,808,1.1833216927498031,1.1842007176030338,1.1842007176030338,1.1811178471908985,-7.397873164789225,0.0,-0.0007428452115907369,2020-09-11 08:00:00+00:00,2020-09-11 08:00:00+00:00,0 days 00:00:00,B_short,0.0008319552559626897,0.0008319552559626897,1.18415,1.18415,1.18237,1.18237,1.0,1.0
-8405,810,810,1.1839716332619479,1.1849123612218344,1.1849123612218344,1.1816229163344971,-7.906818502846315,0.0,-0.0007945527861126234,2020-09-11 08:30:00+00:00,2020-09-11 08:30:00+00:00,0 days 00:00:00,B_short,0.0009673797255897493,0.0009673797255897493,1.18415,1.18415,1.18237,1.18237,1.0,1.0
-8390,911,912,1.1851615243534128,1.1859910953815447,1.1859910953815447,1.1831467138553655,-6.960100926026298,0.0,-0.0006999645289569312,2020-09-14 09:45:00+00:00,2020-09-14 10:00:00+00:00,0 days 00:15:00,B_short,0.000717615997338818,0.0007992671976936494,1.18545,1.18545,1.18319,1.18319,1.0,1.0
-8419,1195,1215,1.18025197371552,1.1814235259057353,1.1814235259057353,1.1772094222827938,-9.863297889423146,0.0,-0.000992628876126611,2020-09-17 08:45:00+00:00,2020-09-17 13:45:00+00:00,0 days 05:00:00,B_short,0.0009957224516373322,0.0012126182227717567,1.18043,1.18043,1.17373,1.17373,1.0,0.0
-8371,1285,1298,1.1859014566287773,1.1838959144738943,1.186688028508702,1.1838959144738943,16.78839337852578,0.0,0.0016911541373634265,2020-09-18 07:15:00+00:00,2020-09-18 10:30:00+00:00,0 days 03:15:00,B_short,0.0007142913742084036,0.0008111172303945635,1.18618,1.18618,1.1843,1.1843,1.0,1.0
8461,1490,1496,1.175417564109604,1.1743408662291204,1.1743408662291204,1.178337401312639,-9.109940766772597,0.0,-0.0009160130947161171,2020-09-22 10:30:00+00:00,2020-09-22 12:00:00+00:00,0 days 01:30:00,B_long,0.0010179159347624455,0.0009828565768037324,1.17715,1.17715,1.17522,1.17522,1.0,0.0
-8486,1588,1597,1.1707228458989987,1.1679787154613333,1.1717537615128888,1.1679787154613333,23.286690894028713,0.0,0.0023439624905912115,2020-09-23 11:00:00+00:00,2020-09-23 13:15:00+00:00,0 days 02:15:00,B_short,0.0008939266445037563,0.0009315437655808918,1.1709,1.1709,1.16746,1.16746,1.0,0.0
8550,1681,1686,1.1647465875935787,1.1636576607828533,1.1636576607828533,1.1675470176514404,-9.310324231702827,0.0,-0.0009349044867993372,2020-09-24 10:15:00+00:00,2020-09-24 11:30:00+00:00,0 days 01:15:00,B_long,0.0009240273215272239,0.0009988586091085473,1.16797,1.16797,1.16443,1.16443,1.0,1.0
-8522,1765,1765,1.1673031588966376,1.1680096671977362,1.1680096671977362,1.1655709984067912,-6.020863741962615,0.0,-0.0006052483416274512,2020-09-25 07:15:00+00:00,2020-09-25 07:15:00+00:00,0 days 00:00:00,B_short,0.0006937115713714577,0.0006937115713714577,1.16747,1.16747,1.16619,1.16619,1.0,1.0
