Equity,DrawdownPct,DrawdownDuration
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
10000.0,0.0,
9990.332276386664,0.0009667723613336898,
10009.475246386663,0.0,0 days 00:30:00
10007.983586386665,0.00014902479533440705,
9997.376226386665,0.0012087566732696953,
9998.453536386663,0.0011011276544170556,
9997.293356386665,0.0012170358285661376,
9998.453536386663,0.0011011276544170556,
9994.724386386664,0.0014736896427535173,
9988.757746386664,0.0020697888240922557,
9985.194336386663,0.002425792501836166,
9972.59895426966,0.00368413839979409,
9974.384977703237,0.003505705126359393,
9973.721857703238,0.0035719543535842613,
9971.732497703237,0.003770702035259088,
9971.981167703238,0.003745858575049721,
9972.47850770324,0.0036961716546308754,
9965.349967703238,0.0044083508472987365,
9967.007767703237,0.004242727779236621,
9961.205467703237,0.004822408517454524,
9961.951477703238,0.004747878136826422,
9965.432857703237,0.004400069693895725,
9968.997127703238,0.0040439800975616835,
9968.334007703237,0.004110229324786774,
9970.323367703237,0.003911481643112058,
9969.908917703238,0.003952887410127448,
9968.168227703238,0.004126791631592908,
9972.312727703238,0.00371273396143712,
9972.312727703238,0.00371273396143712,
9971.483827703238,0.0037955454954683443,
9971.815387703238,0.0037624208818558547,
9971.400937703236,0.0038038266488715777,
9973.970527703237,0.003547110893375005,
9975.130987703238,0.0034311747457312913,
9973.556077703239,0.003588516660390395,
9973.804747703238,0.003563673200181139,
9975.213877703238,0.003422893592328169,
9980.767507703238,0.0028680563143195226,
9977.534797703238,0.0031910212970409635,
9975.959887703237,0.0033483632117002893,
9969.991807703236,0.003944606256724548,
9972.727177703238,0.003671328194421619,
9964.852627703238,0.004458037767717471,
9948.101344117642,0.006131580403395898,
9947.07601391292,0.0062340163632722545,
9942.358693912918,0.006705301808700992,
9944.510453912919,0.0064903295002598504,
9945.917373912918,0.006349770683202194,
9949.641573912919,0.005977703226284881,
9946.662213912918,0.00627535719181882,
9947.903613912918,0.006151334706179568,
9947.407053912917,0.006200943700435446,
9945.58633391292,0.006382843346039224,
9942.275933912919,0.006713569974410194,
9945.669093912918,0.006374575180330022,
9946.82773391292,0.006258820860400083,
9948.48293391292,0.006093457546214598,
9948.48293391292,0.006093457546214598,
9947.489813912918,0.006192675534726022,
9946.993253912919,0.006242284528981568,
9945.255293912918,0.006415916008876366,
9942.938013912917,0.006647424648736244,
9949.476053912918,0.005994239557703396,
9946.496693912919,0.006291893523237224,
9940.37245391292,0.006903737785723396,
9942.358693912918,0.006705301808700992,
9945.917373912918,0.006349770683202194,
9930.028236043074,0.007937180360405804,
9915.279172617244,0.009410690515811337,
9909.014470902854,0.01003656765324179,
9902.055356985486,0.010731820275988513,
9895.860356985484,0.011350733840137406,
9893.877956985485,0.011548786180664905,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
9887.616698006588,0.012174319370444997,
