Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,20)","Exit__rsi(C,20)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2","Entry__session_…(timestamp,7,18)","Exit__session_…(timestamp,7,18)"
8287,58,68,1.1945893185437373,1.1928134242149744,1.1928134242149744,1.1975358364130457,-14.716836302458201,0.0,-0.00148661494054525,2020-09-01 14:30:00+00:00,2020-09-01 17:00:00+00:00,0 days 02:30:00,A_long,0.0015936990136887223,0.001380251310718693,27.824251248996916,22.421294244088458,1.194864744145954,1.1914872127052627,1.1978915,1.1958905,1.2009182558540463,1.2002937872947372,1.0,1.0
8325,126,130,1.1874186623469332,1.1862410585291476,1.1862410585291476,1.1892340946475346,-9.803551783064563,0.0,-0.0009917343015798386,2020-09-02 07:30:00+00:00,2020-09-02 08:30:00+00:00,0 days 01:00:00,A_long,0.0010957492747387463,0.0010092028649049522,28.431660715506737,22.5676427286555,1.187987848950803,1.186058282263022,1.189931,1.189213,1.1918741510491973,1.1923677177369782,1.0,1.0
8344,150,152,1.1836283154869767,1.1823158175087976,1.1823158175087976,1.1857155284841643,-10.951483129926551,0.0,-0.0011088767994191784,2020-09-02 13:30:00+00:00,2020-09-02 14:00:00+00:00,0 days 00:30:00,A_long,0.001225624825708698,0.001322980424643447,31.046498187035525,25.251540818956514,1.1840151191804358,1.1830873526487031,1.185861,1.1855645000000001,1.1877068808195643,1.1880416473512971,1.0,1.0
8352,340,343,1.1812280958395107,1.1794416717951224,1.1794416717951224,1.18419699076878,-14.920213618731374,0.0,-0.0015123446950512376,2020-09-04 13:00:00+00:00,2020-09-04 13:45:00+00:00,0 days 00:45:00,A_long,0.0016385511108939063,0.0015702212712989205,22.510778681780906,19.048156620622606,1.1818788192145928,1.1798309724533147,1.1844365,1.183679,1.186994180785407,1.1875270275466852,1.0,1.0
-8348,628,628,1.1797320213058042,1.1812560663328235,1.1812560663328235,1.1772910806009176,-12.722727885557159,0.0,-0.0012918569636961585,2020-09-09 13:00:00+00:00,2020-09-09 13:00:00+00:00,0 days 00:00:00,A_short,0.0015592574884470353,0.0015592574884470353,84.51442202777399,84.51442202777399,1.1742746034754346,1.1742746034754346,1.1770095,1.1770095,1.1797443965245655,1.1797443965245655,1.0,1.0
-8328,629,633,1.1810419014148956,1.1826992574884472,1.1826992574884472,1.1783333365207953,-13.802461380537329,0.0,-0.0014032999773894161,2020-09-09 13:15:00+00:00,2020-09-09 14:15:00+00:00,0 days 01:00:00,A_short,0.0015446898233207574,0.001471421353952883,86.65186652491995,82.54999200006962,1.1737417781831263,1.1733001440924877,1.177229,1.1782664999999999,1.1807162218168739,1.183232855907512,1.0,1.0
-8272,723,723,1.1874213175187158,1.1891129220308765,1.1891129220308765,1.1846807403444222,-13.992952524592983,0.0,-0.0014246034555751574,2020-09-10 12:45:00+00:00,2020-09-10 12:45:00+00:00,0 days 00:00:00,A_short,0.0017891990934262832,0.0017891990934262832,80.27312047680624,80.27312047680624,1.1810918547462792,1.1810918547462792,1.1840755,1.1840755,1.187059145253721,1.187059145253721,1.0,1.0
-8252,724,724,1.1886512049493896,1.1905591990934263,1.1905591990934263,1.1855494416318328,-15.74476767659127,0.0,-0.001605175795971192,2020-09-10 13:00:00+00:00,2020-09-10 13:00:00+00:00,0 days 00:00:00,A_short,0.0018479725476361357,0.0018479725476361357,83.06696033384858,83.06696033384858,1.1806619196695247,1.1806619196695247,1.1844649999999999,1.1844649999999999,1.188268080330475,1.188268080330475,1.0,1.0
-8230,725,732,1.1898610942104588,1.186623649414255,1.1917979725476362,1.186623649414255,26.6441706727573,0.0,0.0027208594448178136,2020-09-10 13:15:00+00:00,2020-09-10 15:00:00+00:00,0 days 01:45:00,A_short,0.0018095762079513183,0.0019238455484659788,83.69424644932765,54.796460976759285,1.180313137528451,1.1813748988555526,1.1848185,1.186788,1.189323862471549,1.1922011011444473,1.0,1.0
8291,1017,1056,1.1844883941939852,1.183189642171747,1.183189642171747,1.1865506440908558,-10.767953016377588,0.0,-0.0010964666505846044,2020-09-15 14:15:00+00:00,2020-09-16 00:00:00+00:00,0 days 09:45:00,A_long,0.0011416434511527791,0.00046516155895693744,22.845905590247042,21.055828667774463,1.1851683451772135,1.183865102834544,1.1881,1.184643,1.1910316548227864,1.1854208971654558,1.0,0.0
