month,trades,pf,winrate,dd,gp,gl
2023-09,10,0.13913521561353515,20.0,-1.7164725912834466,24.988072163998396,-179.5796336158126
2023-10,15,0.3883023153546694,40.0,-1.4441430551775603,77.92297569972173,-200.96719543691182
2023-11,12,0.18409257643940782,25.0,-1.7433731838991329,39.2133765936119,-213.55069498352327
2023-12,11,0.2843036862234462,27.27272727272727,-1.5436415228429756,52.80908811924818,-186.75078266078413
2024-01,14,0.36944928749108213,35.714285714285715,-1.2938827027417221,73.8453182189186,-200.30837898963335
2024-02,9,0.11009764655205095,22.22222222222222,-1.49904968216803,18.457499044640045,-168.36246726144512
2024-03,8,0.49532488674399044,50.0,-0.569945549386397,40.920507687191844,-82.70566243881392
2024-04,14,0.29956552451911095,35.714285714285715,-1.8673012649084164,58.960453378716586,-198.04885532154907
2024-05,6,0.5939028823002283,50.0,-0.5389463229953373,37.296685728075765,-62.85577890636389
2024-06,6,0.16354873159066277,33.33333333333333,-1.0457392486474926,15.258923286382037,-93.81118022033702
2024-07,4,1.4005580664254533,75.0,-0.31304327415062616,28.651877901903074,-20.48462615656348
2024-08,13,0.24354961032388842,30.76923076923077,-1.6700774547663277,49.75749209417994,-204.9391025625788
2024-09,18,0.44109627276092583,38.88888888888889,-1.5852740817333344,103.9033501248129,-235.91823189007346
2024-10,4,0.21640039316078216,25.0,-0.8118495530232805,14.789182583357341,-68.65334889259
2024-11,22,0.5039504034055897,36.36363636363637,-2.058745400102191,168.10109002432347,-334.648153697363
2024-12,19,0.7896936570023201,57.89473684210527,-1.212342545791445,143.47237765050008,-181.932611415691
2025-01,24,0.5930806496937439,41.66666666666667,-2.1405165920362013,205.67773734800141,-348.30561587044514
2025-02,10,0.6655613427697801,50.0,-0.6369469002026618,90.39498877576776,-136.2177191654012
2025-03,24,0.2859376328131913,37.5,-2.6471440746379082,105.09219098741353,-369.80659845121176
2025-04,16,0.8530042649473359,43.75,-1.4203933670330016,212.71056509994077,-250.19441216324807
2025-05,20,0.14250183213434034,20.0,-3.5334517407846877,56.56601623582932,-400.01150360457274
2025-06,21,0.43250667878903115,38.095238095238095,-1.76365637471525,126.40019365248227,-292.97790454776566
2025-07,19,0.74940146424498,52.63157894736842,-1.212875504409816,166.78715794531092,-222.99104525758491
2025-08,18,0.08448280199318994,16.666666666666664,-3.2992513633435028,30.566001372838986,-360.49113770718805
