rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
17,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.5.csv,portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.5,24,0.0,0.2704634148083856,0.0490740743862293,40.0,-1.0966207650214388
18,./out/rolling_A_24m_portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.5.csv,portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.5_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.5,24,0.0,0.2704634148083856,0.0401877175811682,41.66666666666667,-1.2668110938291122
19,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.5.csv,portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.5,24,0.0,0.2576331285865976,0.0403316810688371,36.36363636363637,-1.1427467201211905
20,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.6.csv,portA_micro8_s8-17_rr1.8_atrmin0.0008_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0008_edge0.6,24,0.0,0.249802837855292,0.081602037744408,37.5,-0.9924346518718652
21,./out/rolling_A_24m_portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.5.csv,portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.5,24,0.0,0.2465314701345642,0.0341293779695819,38.46153846153847,-1.4691334297404437
22,./out/rolling_A_24m_portA_micro8_s8-17_rr1.8_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0011_edge0.6.csv,portA_micro8_s8-17_rr1.8_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london8-17_atrmin0.0011_edge0.6,24,0.0,0.2067353619083961,0.0,26.136363636363633,-0.7461760077864477
23,./out/rolling_A_24m_portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.5.csv,portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.5_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.5,24,0.0,0.1942104602519205,0.0,30.0,-0.798033052885061
24,./out/rolling_A_24m_portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.6.csv,portA_micro8_s7-18_rr1.8_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.8_london7-18_atrmin0.0011_edge0.6,24,0.0,0.1744147380423592,0.0,25.0,-0.7461760077864477
25,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.6.csv,portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.6,24,0.0,0.1499682475125388,0.0490740743862293,42.85714285714285,-0.9401927155836654
26,./out/rolling_A_24m_portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.6.csv,portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.6,24,0.0,0.1499682475125388,0.0401877175811682,44.44444444444444,-1.146807638529379
27,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.6.csv,portA_micro8_s8-17_rr1.5_atrmin0.0008_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0008_edge0.6,24,0.0,0.14525586491519976,0.0490740743862293,37.5,-0.9401927155836654
28,./out/rolling_A_24m_portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.6.csv,portA_micro8_s7-18_rr1.5_atrmin0.0008_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0008_edge0.6,24,0.0,0.14525586491519976,0.0401877175811682,40.0,-1.2463834297550158
29,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0011_edge0.6.csv,portA_micro8_s8-17_rr1.5_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0011_edge0.6,24,0.0,0.12339382769552901,0.0,25.0,-0.7634223919371019
30,./out/rolling_A_24m_portA_micro8_s8-17_rr1.5_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0011_edge0.6.csv,portA_micro8_s8-17_rr1.5_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london8-17_atrmin0.0011_edge0.6,24,0.0,0.12339382769552901,0.0,25.0,-0.6800142954814459
31,./out/rolling_A_24m_portA_micro8_s7-18_rr1.5_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0011_edge0.6.csv,portA_micro8_s7-18_rr1.5_atrmin0.0011_edge0.6_adx18_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0011_edge0.6,24,0.0,0.1048786993098458,0.0,25.0,-0.7634223919371019
32,./out/rolling_A_24m_portA_micro8_s7-18_rr1.5_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0011_edge0.6.csv,portA_micro8_s7-18_rr1.5_atrmin0.0011_edge0.6_adx20_ms0.00001_kp0.8_router3-0.6-6_rsi18_bb2.0_atr1.2_risk0.5_rr1.5_london7-18_atrmin0.0011_edge0.6,24,0.0,0.1048786993098458,0.0,25.0,-0.6800142954814459
