rsi_len,bb_std,rsi_os,rsi_ob,rr_tp,atr_mult_sl,risk_pct,a_atr_min,a_edge_mult,a_session_start,a_session_end,train_trades,train_pf,train_wr,train_ret,train_dd,train_sharpe,oos_trades,oos_pf,oos_wr,oos_ret,oos_dd,oos_sharpe
24,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,52.0,0.4937229103744795,34.61538461538461,-2.0972439029056837,-2.164160195413567,-1.490714325048596,18.0,1.525926358884333,55.55555555555556,0.7413488868049899,-0.7631751942386411,0.7511362315100065
24,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,48.0,0.4515059085692292,31.25,-2.2378761600501638,-2.2378761600501673,-1.6017477474171846,18.0,1.525926358884333,55.55555555555556,0.7413488868049899,-0.7631751942386411,0.7511362315100065
24,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,31.0,0.21597241686888405,16.129032258064516,-2.7175400325119696,-2.7456243922378554,-2.1696334977049627,18.0,1.525926358884333,55.55555555555556,0.7413488868049899,-0.7631751942386411,0.7511362315100065
10,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
10,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
12,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
12,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
14,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
14,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
16,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
16,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
18,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
18,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
20,2.4,25.0,75.0,1.5,1.0,0.01,0.001,1.0,8,17,36.0,0.22511874017248634,16.666666666666664,-3.060399469859276,-3.2276098790067542,-2.3214792773123625,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
20,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
22,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
24,2.4,30.0,70.0,1.5,1.0,0.01,0.001,1.0,8,17,38.0,0.21112308769877458,15.789473684210526,-3.3177332096213834,-3.4845051146890516,-2.4687939005611668,20.0,1.5076985406770007,55.00000000000001,0.7808874062414362,-0.8905481040328511,0.7730105582197976
20,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,0.75,8,17,95.0,0.6440579211134931,34.73684210526316,-2.6359725506205174,-3.1272546530603407,-1.187999350028898,37.0,1.4604523360336783,56.75675675675676,1.1869712871482443,-1.0985288066211352,0.9430622056509185
10,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
10,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
12,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
12,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
14,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
14,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
16,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
18,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
20,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,0.75,8,17,105.0,0.6553098721727483,35.23809523809524,-2.796846553831165,-3.3150785921951864,-1.2397115220724084,41.0,1.4437740934857994,56.09756097560976,1.2447340449379043,-1.0984961541753546,0.9672309761586372
22,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,0.75,8,17,89.0,0.6673685295069406,35.95505617977528,-2.3107549010540605,-2.824441329711236,-1.0765849262250673,35.0,1.440081435744198,57.14285714285714,1.0984543631662018,-1.0191940757422802,0.8833035578598051
10,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
10,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
10,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
10,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
12,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
12,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
12,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
12,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
14,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
14,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
14,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
14,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
16,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
16,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
16,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
16,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
18,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
18,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
18,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
