month,trades,pf,winrate,dd
2023-10,19,0.3236370195597422,52.63157894736842,-1.1235991902067477
2023-11,13,0.19762619647537685,23.076923076923077,-1.4484491561044033
2023-12,34,0.13574902425073776,23.52941176470588,-4.780237941937249
2024-01,25,0.30888414032832023,28.000000000000004,-2.7881971256969784
2024-02,25,0.03135407619324107,12.0,-3.6893642145577887
2024-03,22,0.11099229998270091,31.818181818181817,-2.0547382155930993
2024-04,17,0.13705453629165654,29.411764705882355,-2.340734722194815
2024-05,18,0.23856324028273732,38.88888888888889,-1.2200235257723624
2024-06,17,0.09410341060556009,23.52941176470588,-2.3332503809832095
2024-07,22,0.09681992680770869,27.27272727272727,-2.4598419938212546
2024-08,22,0.15671072598507946,27.27272727272727,-3.704319574815218
2024-09,16,0.4754470799182414,56.25,-1.0340226429240373
2024-10,15,0.24231010435214795,20.0,-1.633046227875734
2024-11,21,0.13580743191694208,28.57142857142857,-2.0840212413502535
2024-12,29,0.1106403441491191,20.689655172413794,-3.4580420930840905
2025-01,28,0.20221960424753366,35.714285714285715,-2.6887131424885413
2025-02,29,0.17186994365164981,31.03448275862069,-3.0233631191341925
2025-03,28,0.1068511234735869,28.57142857142857,-2.7984283361545903
2025-04,15,0.5512788605589966,46.666666666666664,-2.904779194382112
2025-05,17,0.3291166181875062,41.17647058823529,-1.9500439948021087
2025-06,20,0.19968143345805894,30.0,-2.363702187828709
2025-07,26,0.1744155800633953,30.76923076923077,-3.541678387781688
2025-08,28,0.07858738361801963,28.57142857142857,-3.740507801623849
2025-09,4,0.0,0.0,-0.8083241425044463
